                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4051,                0.83052,                 1.1188,                0.92501,                0.97727,                0.96513,                0.67195,                 1.0464,                0.87043,                0.89391,             0.00035007,             0.00035007,             0.00035007
                      2,                 1.3325,                0.72278,                  1.088,                0.93844,                0.97727,                0.96811,                0.66269,                 1.0137,                0.85847,                0.90388,             0.00071326,             0.00071326,             0.00071326
                      3,                 1.3138,                0.69913,                 1.0661,                0.93878,                0.79545,                0.86434,                0.61826,                0.95812,                 1.0331,                0.93158,              0.0010728,              0.0010728,              0.0010728
                      4,                 1.2805,                0.66791,                 1.0618,                0.79716,                0.90909,                0.91356,                 0.5326,                 1.2406,                0.90751,                0.96809,              0.0014288,              0.0014288,              0.0014288
                      5,                 1.3116,                0.76272,                 1.0859,                 0.7833,                0.97727,                0.96115,                0.66371,                 1.0201,                0.93397,                0.92801,               0.001634,               0.001634,               0.001634
                      6,                 1.2854,                0.81912,                 1.0795,                0.88418,                0.68182,                0.80569,                 0.5203,                  1.178,                 1.2084,                0.96459,               0.001634,               0.001634,               0.001634
                      7,                 1.2465,                0.74951,                 1.0547,                0.00063,                    0.4,                0.00061,                0.00022,                 2.6821,                 24.238,                 1.5356,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.2746,                0.68026,                 1.0798,                0.00063,                    0.4,                0.00061,                0.00022,                 5.0559,                 7.4246,                 2.8911,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.2139,                0.68684,                  1.052,                 0.9258,                0.87224,                0.94842,                0.66322,                0.90746,                 0.8029,                0.88167,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.2181,                0.67001,                 1.0672,                0.84629,                0.90909,                0.92533,                0.65852,                0.94464,                0.84851,                0.90931,               0.001601,               0.001601,               0.001601
                     11,                 1.2389,                0.65079,                  1.061,                0.92372,                0.97727,                0.95109,                0.67489,                 1.0092,                0.75215,                0.91856,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.2934,                0.67673,                 1.0927,                0.95107,                0.97727,                0.96352,                0.68174,                0.91578,                0.75481,                0.91288,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.1308,                0.59814,                 1.0186,                0.89673,                0.96796,                0.94443,                0.68679,                0.86924,                0.85628,                 0.9093,              0.0015762,              0.0015762,              0.0015762
                     14,                 1.2266,                0.60691,                 1.0303,                0.79223,                0.84328,                0.94808,                0.55477,                 1.2494,                 1.4176,                0.96396,               0.001568,               0.001568,               0.001568
                     15,                 1.1505,                0.62396,                 1.0277,                0.94508,                0.97727,                0.95839,                0.66744,                0.83892,                0.75416,                0.87309,              0.0015597,              0.0015597,              0.0015597
