Frame,FPS,CPU,GPU
1,2.63528,51.2195,177.505
2,4.50465,40,8.40988
3,103.599,71.4286,20.7821
4,45.934,62.5,27.4708
5,34.9263,69.5652,7.71775
6,106.176,60,22.8505
7,41.9975,29.1667,7.56896
8,108.189,20,8.1355
9,109.096,0,15.9639
10,59.409,0,13.4533
11,68.7061,0,7.58104
12,105.227,0,8.91979
13,101.016,0,12.7715
14,72.3639,0,7.5695
15,118.153,0,7.34562
16,119.901,0,5.5545
17,137.43,0,8.30808
18,107.592,0,4.82212
19,148.453,35.1648,9.39529
20,96.8125,37.5,5.2155
21,144.762,0,8.2735
22,108.018,0,4.47546
23,161.124,0,9.7945
24,93.4294,0,5.03188
25,147.17,0,8.76
26,102.786,0,4.81329
27,150.452,0,9.32475
28,98.4272,0,8.81392
29,102.675,0,10.153
30,20.2586,0,9.06771
31,98.4399,0,12.9002
32,71.6198,0,7.26925
33,118.552,0,7.37121
34,120.971,0,5.1435
35,147.461,0,8.93075
36,102.43,0,5.19913
37,161.902,0,9.97863
38,92.5415,0,4.66379
39,162.81,0,9.56688
40,96.1049,0,4.34146
41,161.109,0,17.611
42,54.1802,0,4.64
43,175.193,0,5.9185
44,146.5,0,11.8881
45,77.4529,0,5.21708
46,148.961,0,8.82413
47,103.211,0,5.03392
48,143.973,0,9.05083
49,100.941,0,5.51029
50,139.279,0,8.28008
51,109.139,0,5.90192
52,145.699,0,9.45404
53,97.005,0,6.19012
54,137.289,0,8.10246
55,109.658,0,6.08087
56,139.066,0,8.18962
57,104.928,0,5.40312
58,158.016,0,9.48617
59,97.3993,0,6.28737
60,140.245,0,8.66492
61,102.546,0,6.26038
62,133.513,0,8.09571
63,110.16,0,6.30217
64,135.782,0,7.97221
65,108.356,0,5.3595
66,158.264,0,9.41092
67,97.7887,0,5.63871
68,153.508,0,9.60154
69,95.3674,0,6.00554
70,141.699,0,8.57225
71,103.368,0,7.55425
72,114.246,0,10.4818
73,85.5378,0,11.2598
74,80.0562,0,6.07762
75,126.34,0,7.97604
76,112.914,0,7.78587
77,109.955,0,10.2355
78,87.2223,0,12.0233
79,75.882,0,7.05162
80,112.428,0,23.1429
81,41.368,0,8.09292
82,108.341,0,9.75546
83,93.6563,0,12.5214
84,74.379,0,6.21183
85,127.92,0,7.79588
86,116.42,0,6.71987
87,133.057,0,8.314
88,108.013,0,7.20463
89,122.657,0,7.51471
90,118.463,0,5.54129
91,148.453,0,9.2485
92,98.5261,0,6.79079
93,127.91,0,7.67729
94,116.908,0,6.14671
95,142.445,0,11.2049
96,82.648,0,4.85325
97,170.872,0,7.56763
98,119.145,0,6.94025
99,128.75,0,8.18142
100,110.147,0,5.65337
101,140.852,0,8.5305
102,107.041,0,5.90433
103,148.203,0,9.28042
104,98.6744,0,5.96183
105,142.826,0,8.5875
106,105.444,0,6.38713
107,133.254,0,8.39196
108,106.672,0,6.13217
109,140.506,0,8.55787
