,date,confirmed,deaths,recovered,active,removed,infected,recovered_deceased,susceptible,exposed
76,2020-03-21,47.0,3.0,1.0,43.0,4.0,43.0,4.0,40999953.0,0
82,2020-03-27,310.0,5.0,5.0,300.0,10.0,300.0,10.0,40999690.0,0
84,2020-03-29,475.0,10.0,6.0,459.0,16.0,459.0,16.0,40999525.0,0
85,2020-03-30,548.0,13.0,8.0,527.0,21.0,527.0,21.0,40999452.0,0
86,2020-03-31,645.0,17.0,10.0,618.0,27.0,618.0,27.0,40999355.0,0
87,2020-04-01,794.0,20.0,13.0,761.0,33.0,761.0,33.0,40999206.0,0
88,2020-04-02,897.0,22.0,19.0,856.0,41.0,856.0,41.0,40999103.0,0
89,2020-04-03,1072.0,27.0,22.0,1023.0,49.0,1023.0,49.0,40998928.0,0
90,2020-04-04,1225.0,32.0,25.0,1168.0,57.0,1168.0,57.0,40998775.0,0
91,2020-04-05,1308.0,37.0,28.0,1243.0,65.0,1243.0,65.0,40998692.0,0
94,2020-04-08,1668.0,52.0,35.0,1581.0,87.0,1581.0,87.0,40998332.0,0
95,2020-04-09,1892.0,57.0,45.0,1790.0,102.0,1790.0,102.0,40998108.0,0
96,2020-04-10,2203.0,69.0,61.0,2073.0,130.0,2073.0,130.0,40997797.0,0
97,2020-04-11,2511.0,73.0,79.0,2359.0,152.0,2359.0,152.0,40997489.0,0
98,2020-04-12,2777.0,83.0,89.0,2605.0,172.0,2605.0,172.0,40997223.0,0
99,2020-04-13,3102.0,93.0,97.0,2912.0,190.0,2912.0,190.0,40996898.0,0
100,2020-04-14,3372.0,98.0,119.0,3155.0,217.0,3155.0,217.0,40996628.0,0
101,2020-04-15,3764.0,108.0,143.0,3513.0,251.0,3513.0,251.0,40996236.0,0
102,2020-04-16,4161.0,116.0,186.0,3859.0,302.0,3859.0,302.0,40995839.0,0
103,2020-04-17,4662.0,125.0,246.0,4291.0,371.0,4291.0,371.0,40995338.0,0
104,2020-04-18,5106.0,133.0,275.0,4698.0,408.0,4698.0,408.0,40994894.0,0
105,2020-04-19,5449.0,141.0,347.0,4961.0,488.0,4961.0,488.0,40994551.0,0
106,2020-04-20,5710.0,151.0,359.0,5200.0,510.0,5200.0,510.0,40994290.0,0
107,2020-04-21,6125.0,161.0,367.0,5597.0,528.0,5597.0,528.0,40993875.0,0
108,2020-04-22,6592.0,174.0,424.0,5994.0,598.0,5994.0,598.0,40993408.0,0
109,2020-04-23,7170.0,187.0,504.0,6479.0,691.0,6479.0,691.0,40992830.0,0
110,2020-04-24,7647.0,201.0,782.0,6664.0,983.0,6664.0,983.0,40992353.0,0
112,2020-04-26,8617.0,209.0,840.0,7568.0,1049.0,7568.0,1049.0,40991383.0,0
113,2020-04-27,9009.0,220.0,864.0,7925.0,1084.0,7925.0,1084.0,40990991.0,0
114,2020-04-28,9410.0,239.0,992.0,8179.0,1231.0,8179.0,1231.0,40990590.0,0
115,2020-04-29,9866.0,250.0,1103.0,8513.0,1353.0,8513.0,1353.0,40990134.0,0
116,2020-04-30,10406.0,261.0,1238.0,8907.0,1499.0,8907.0,1499.0,40989594.0,0
117,2020-05-01,10861.0,272.0,1413.0,9176.0,1685.0,9176.0,1685.0,40989139.0,0
118,2020-05-02,11411.0,279.0,1498.0,9634.0,1777.0,9634.0,1777.0,40988589.0,0
119,2020-05-03,11913.0,288.0,1548.0,10077.0,1836.0,10077.0,1836.0,40988087.0,0
120,2020-05-04,12331.0,303.0,1619.0,10409.0,1922.0,10409.0,1922.0,40987669.0,0
121,2020-05-05,12697.0,316.0,1875.0,10506.0,2191.0,10506.0,2191.0,40987303.0,0
122,2020-05-06,13184.0,327.0,2097.0,10760.0,2424.0,10760.0,2424.0,40986816.0,0
123,2020-05-07,13691.0,340.0,2396.0,10955.0,2736.0,10955.0,2736.0,40986309.0,0
124,2020-05-08,14195.0,361.0,2706.0,11128.0,3067.0,11128.0,3067.0,40985805.0,0
125,2020-05-09,14710.0,376.0,2909.0,11425.0,3285.0,11425.0,3285.0,40985290.0,0
126,2020-05-10,15232.0,391.0,3060.0,11781.0,3451.0,11781.0,3451.0,40984768.0,0
127,2020-05-11,15648.0,408.0,3288.0,11952.0,3696.0,11952.0,3696.0,40984352.0,0
128,2020-05-12,16023.0,425.0,3373.0,12225.0,3798.0,12225.0,3798.0,40983977.0,0
129,2020-05-13,16425.0,439.0,3716.0,12270.0,4155.0,12270.0,4155.0,40983575.0,0
130,2020-05-14,16847.0,456.0,4143.0,12248.0,4599.0,12248.0,4599.0,40983153.0,0
131,2020-05-15,17330.0,476.0,4473.0,12381.0,4949.0,12381.0,4949.0,40982670.0,0
132,2020-05-16,17858.0,497.0,4906.0,12455.0,5403.0,12455.0,5403.0,40982142.0,0
133,2020-05-17,18291.0,514.0,5116.0,12661.0,5630.0,12661.0,5630.0,40981709.0,0
134,2020-05-18,18616.0,535.0,5276.0,12805.0,5811.0,12805.0,5811.0,40981384.0,0
135,2020-05-19,18876.0,548.0,5632.0,12696.0,6180.0,12696.0,6180.0,40981124.0,0
136,2020-05-20,19230.0,564.0,5955.0,12711.0,6519.0,12711.0,6519.0,40980770.0,0
137,2020-05-21,19706.0,579.0,6227.0,12900.0,6806.0,12900.0,6806.0,40980294.0,0
138,2020-05-22,20148.0,588.0,6585.0,12975.0,7173.0,12975.0,7173.0,40979852.0,0
139,2020-05-23,20580.0,605.0,6929.0,13046.0,7534.0,13046.0,7534.0,40979420.0,0
140,2020-05-24,20986.0,617.0,7108.0,13261.0,7725.0,13261.0,7725.0,40979014.0,0
141,2020-05-25,21245.0,623.0,7234.0,13388.0,7857.0,13388.0,7857.0,40978755.0,0
142,2020-05-26,21584.0,644.0,7575.0,13365.0,8219.0,13365.0,8219.0,40978416.0,0
143,2020-05-27,21905.0,658.0,7995.0,13252.0,8653.0,13252.0,8653.0,40978095.0,0
144,2020-05-28,22382.0,669.0,8439.0,13274.0,9108.0,13274.0,9108.0,40977618.0,0
145,2020-05-29,22811.0,679.0,8934.0,13198.0,9613.0,13198.0,9613.0,40977189.0,0
146,2020-05-30,23204.0,696.0,9311.0,13197.0,10007.0,13197.0,10007.0,40976796.0,0
147,2020-05-31,23672.0,708.0,9538.0,13426.0,10246.0,13426.0,10246.0,40976328.0,0
148,2020-06-01,24562.0,724.0,10053.0,13785.0,10777.0,13785.0,10777.0,40975438.0,0
149,2020-06-02,24895.0,733.0,10461.0,13701.0,11194.0,13701.0,11194.0,40975105.0,0
150,2020-06-03,25385.0,742.0,10838.0,13805.0,11580.0,13805.0,11580.0,40974615.0,0
151,2020-06-04,25981.0,755.0,11468.0,13758.0,12223.0,13758.0,12223.0,40974019.0,0
152,2020-06-05,26542.0,770.0,11815.0,13957.0,12585.0,13957.0,12585.0,40973458.0,0
153,2020-06-06,27101.0,785.0,12265.0,14051.0,13050.0,14051.0,13050.0,40972899.0,0
154,2020-06-07,27599.0,796.0,12513.0,14290.0,13309.0,14290.0,13309.0,40972401.0,0
155,2020-06-08,28077.0,805.0,12657.0,14615.0,13462.0,14615.0,13462.0,40971923.0,0
156,2020-06-09,28479.0,818.0,12892.0,14769.0,13710.0,14769.0,13710.0,40971521.0,0
157,2020-06-10,29015.0,841.0,13257.0,14917.0,14098.0,14917.0,14098.0,40970985.0,0
158,2020-06-11,29706.0,864.0,13642.0,15200.0,14506.0,15200.0,14506.0,40970294.0,0
159,2020-06-12,30415.0,880.0,14075.0,15460.0,14955.0,15460.0,14955.0,40969585.0,0
160,2020-06-13,31177.0,890.0,14489.0,15798.0,15379.0,15798.0,15379.0,40968823.0,0
161,2020-06-14,31851.0,899.0,14596.0,16356.0,15495.0,16356.0,15495.0,40968149.0,0
162,2020-06-15,32536.0,911.0,14771.0,16854.0,15682.0,16854.0,15682.0,40967464.0,0
163,2020-06-16,33209.0,922.0,15054.0,17233.0,15976.0,17233.0,15976.0,40966791.0,0
164,2020-06-17,33986.0,953.0,15485.0,17548.0,16438.0,17548.0,16438.0,40966014.0,0
165,2020-06-18,34833.0,976.0,16001.0,17856.0,16977.0,17856.0,16977.0,40965167.0,0
166,2020-06-19,35755.0,995.0,16588.0,18172.0,17583.0,18172.0,17583.0,40964245.0,0
167,2020-06-20,36615.0,1004.0,16974.0,18637.0,17978.0,18637.0,17978.0,40963385.0,0
168,2020-06-21,37361.0,1012.0,17078.0,19271.0,18090.0,19271.0,18090.0,40962639.0,0
169,2020-06-22,38056.0,1022.0,17211.0,19823.0,18233.0,19823.0,18233.0,40961944.0,0
170,2020-06-23,38901.0,1045.0,17538.0,20318.0,18583.0,20318.0,18583.0,40961099.0,0
171,2020-06-24,39852.0,1061.0,18009.0,20782.0,19070.0,20782.0,19070.0,40960148.0,0
172,2020-06-25,40854.0,1078.0,18365.0,21411.0,19443.0,21411.0,19443.0,40959146.0,0
173,2020-06-26,41975.0,1097.0,18927.0,21951.0,20024.0,21951.0,20024.0,40958025.0,0
174,2020-06-27,42932.0,1121.0,19350.0,22461.0,20471.0,22461.0,20471.0,40957068.0,0
175,2020-06-28,43856.0,1142.0,19585.0,23129.0,20727.0,23129.0,20727.0,40956144.0,0
176,2020-06-29,44538.0,1161.0,19679.0,23698.0,20840.0,23698.0,20840.0,40955462.0,0
177,2020-06-30,45254.0,1173.0,19792.0,24289.0,20965.0,24289.0,20965.0,40954746.0,0
178,2020-07-01,45924.0,1188.0,20244.0,24492.0,21432.0,24492.0,21432.0,40954076.0,0
179,2020-07-02,46821.0,1200.0,20755.0,24866.0,21955.0,24866.0,21955.0,40953179.0,0
180,2020-07-03,47705.0,1227.0,21296.0,25182.0,22523.0,25182.0,22523.0,40952295.0,0
181,2020-07-04,48628.0,1243.0,21907.0,25478.0,23150.0,25478.0,23150.0,40951372.0,0
182,2020-07-05,49468.0,1265.0,22131.0,26072.0,23396.0,26072.0,23396.0,40950532.0,0
183,2020-07-06,50053.0,1278.0,22462.0,26313.0,23740.0,26313.0,23740.0,40949947.0,0
184,2020-07-07,50622.0,1299.0,22970.0,26353.0,24269.0,26353.0,24269.0,40949378.0,0
185,2020-07-08,51457.0,1323.0,23912.0,26222.0,25235.0,26222.0,25235.0,40948543.0,0
186,2020-07-09,52285.0,1344.0,24606.0,26335.0,25950.0,26335.0,25950.0,40947715.0,0
187,2020-07-10,53116.0,1362.0,25634.0,26120.0,26996.0,26120.0,26996.0,40946884.0,0
188,2020-07-11,53941.0,1389.0,26513.0,26039.0,27902.0,26039.0,27902.0,40946059.0,0
189,2020-07-12,54647.0,1400.0,26971.0,26276.0,28371.0,26276.0,28371.0,40945353.0,0
190,2020-07-13,55285.0,1415.0,27356.0,26514.0,28771.0,26514.0,28771.0,40944715.0,0
191,2020-07-14,55931.0,1429.0,28021.0,26481.0,29450.0,26481.0,29450.0,40944069.0,0
192,2020-07-15,56779.0,1444.0,29005.0,26330.0,30449.0,26330.0,30449.0,40943221.0,0
193,2020-07-16,57640.0,1462.0,29822.0,26356.0,31284.0,26356.0,31284.0,40942360.0,0
194,2020-07-17,58466.0,1473.0,30675.0,26318.0,32148.0,26318.0,32148.0,40941534.0,0
195,2020-07-18,59333.0,1496.0,31479.0,26358.0,32975.0,26358.0,32975.0,40940667.0,0
196,2020-07-19,60077.0,1504.0,31836.0,26737.0,33340.0,26737.0,33340.0,40939923.0,0
197,2020-07-20,60767.0,1517.0,32397.0,26853.0,33914.0,26853.0,33914.0,40939233.0,0
198,2020-07-21,61454.0,1537.0,33186.0,26731.0,34723.0,26731.0,34723.0,40938546.0,0
199,2020-07-22,62295.0,1553.0,34176.0,26566.0,35729.0,26566.0,35729.0,40937705.0,0
