example,regime,stabilization,nx,time_idx,l2_error,order
example1,diffusion,none,32,0,0.0006214065030467568,
example1,diffusion,none,32,71,0.00016176362676921098,
example1,diffusion,none,32,142,4.0457120257270216e-05,
example1,diffusion,none,32,214,9.90843490864719e-06,
example1,diffusion,none,32,285,2.4745138403221122e-06,
example1,diffusion,none,32,357,6.060218956109552e-07,
example1,diffusion,none,32,428,1.5134664639121987e-07,
example1,diffusion,none,32,500,3.706560407474431e-08,
example1,diffusion,none,64,428,4.1515548644649937e-08,1.8661330383024892
example1,diffusion,none,64,357,1.6626864292940197e-07,1.865853806940162
example1,diffusion,none,64,285,6.790429049767255e-07,1.8655704730275697
example1,diffusion,none,64,500,1.0165386103581276e-08,1.8664160108923724
example1,diffusion,none,64,142,1.1105791919967751e-05,1.8650813616302429
example1,diffusion,none,64,71,4.429100565676352e-05,1.8688015881360125
example1,diffusion,none,64,0,0.00015535835673787367,1.9999374931832892
example1,diffusion,none,64,214,2.7195445879426295e-06,1.865292114336939
example1,diffusion,none,128,500,3.070935273014391e-09,1.7269150032853258
example1,diffusion,none,128,428,1.2543347617981019e-08,1.7267293325432145
example1,diffusion,none,128,285,2.0521587615076663e-07,1.7263603865695643
example1,diffusion,none,128,357,5.024214428769686e-08,1.7265461688361687
example1,diffusion,none,128,142,3.3569116830091413e-06,1.7261057839295162
example1,diffusion,none,128,71,1.3331784531950724e-05,1.73214384900701
example1,diffusion,none,128,0,3.8769919560260824e-05,2.002590199318872
example1,diffusion,none,128,214,8.219861939607547e-07,1.7261790117287419
example1,diffusion,none,256,428,3.6345423687182313e-09,1.787076803101603
example1,diffusion,none,256,0,9.403180385521547e-06,2.0437170426133804
example1,diffusion,none,256,71,3.853775519826162e-06,1.7905254628893224
example1,diffusion,none,256,142,9.729929089750126e-07,1.7866333856559808
example1,diffusion,none,256,214,2.3824120644582515e-07,1.7866911978637288
example1,diffusion,none,256,285,5.947371209919303e-08,1.7868183161254694
example1,diffusion,none,256,357,1.4559386682576032e-08,1.7869484554526478
example1,diffusion,none,256,500,8.897495182964507e-10,1.7872069527522023
