x,t_0.00,t_0.14,t_0.28,t_0.43,t_0.57,t_0.71,t_0.86,t_1.00
0.0,1.2234539492618686e-17,4.445519425469251e-24,1.8964155812046832e-29,1.8036248519838905e-34,1.7597146761254008e-39,1.7402624357652418e-44,1.8843304393736885e-49,2.1269822159663068e-54
0.00390625,0.012271538285719962,4.840800807023546e-09,2.8738191046475636e-14,2.0839916667862377e-19,2.0859685660401094e-24,1.9424906685789602e-29,2.2493238799150655e-34,2.3105635618481322e-39
0.0078125,0.02454122852291235,1.8231553616643318e-08,1.0967054304463914e-13,7.99074682989605e-19,8.017558757869014e-24,7.477184978014283e-29,8.666809565074394e-34,8.909175925733803e-39
0.01171875,0.036807222941358915,5.05430790575757e-08,3.1080374576255915e-13,2.2825946472454968e-18,2.2994693650034284e-23,2.1498189660791624e-28,2.495967493074934e-33,2.568855016348858e-38
0.015625,0.04906767432741813,1.222472238534462e-07,7.752405346664262e-13,5.757141019632562e-18,5.83244284120867e-23,5.471878592493341e-28,6.367620875577649e-33,6.564630428033405e-38
0.01953125,0.061320736302208724,2.720888972999229e-07,1.7950138496964785e-12,1.3522162540669708e-17,1.3798592109428286e-22,1.3003662497483268e-27,1.5177417877268674e-32,1.5680986959112832e-37
0.0234375,0.07356456359966759,5.707136209458019e-07,3.950797438682784e-12,3.0286404922438063e-17,3.118033859762979e-22,2.9545388622627048e-27,3.4609954297895794e-32,3.5853281488120635e-37
0.02734375,0.08579731234444005,1.1426316254659557e-06,8.371195161282431e-12,6.55099656389422e-17,6.815276595890999e-22,6.499845636267872e-27,7.646822630374605e-32,7.94641411776614e-37
0.03125,0.09801714032956081,2.2004647492920433e-06,1.7205312360598834e-11,1.378816712090122e-16,1.451854352598717e-21,1.3950366315539258e-26,1.6493682378121206e-31,1.720203925037086e-36
0.03515625,0.11022220729388331,4.096634282718704e-06,3.4469399717656084e-11,2.837676145369563e-16,3.029115057852276e-21,2.935304815498486e-26,3.4900083528204755e-31,3.654859222975166e-36
0.0390625,0.1224106751992165,7.3988927401869215e-06,6.75390272847972e-11,5.729585108033708e-16,6.210220411418087e-21,6.075061396833752e-26,7.2686233010256515e-31,7.646943390101112e-36
0.04296875,0.13458070850712642,1.2997189359961242e-05,1.2973785057976996e-10,1.1376814891206513e-15,1.2540883594012103e-20,1.2396776045451478e-25,1.4935687475645565e-30,1.5792903538369396e-35
0.046875,0.14673047445536205,2.2250015491048526e-05,2.4476084744066307e-10,2.2254574828181963e-15,2.4988552015448613e-20,2.498553992752727e-25,3.0332390208836932e-30,3.225179134097212e-35
0.05078125,0.15885814333386175,3.7178260664635075e-05,4.541206518009017e-10,4.294377926830985e-15,4.919545338994136e-20,4.9804543460353275e-25,6.09641389838863e-30,6.521407388400535e-35
0.0546875,0.17096188876030144,6.071334793192757e-05,8.295027662792656e-10,8.183075146263595e-15,9.579224749584665e-20,9.828770794142566e-25,1.2138865102740585e-29,1.3069943822319825e-34
0.05859375,0.18303988795514134,9.700365838249955e-05,1.4929766440654549e-09,1.5410913261668223e-14,1.8463539173813158e-19,1.9219241941577835e-24,2.3964808731075233e-29,2.598407355816711e-34
0.0625,0.1950903220161287,0.00015177875585931831,2.6495993944462062e-09,2.87030041391081e-14,3.5250684321064624e-19,3.726215401950009e-24,4.694069774135025e-29,5.127776997350411e-34
0.06640625,0.20711137619221912,0.00023276463652742576,4.639292510263432e-09,5.289969259884861e-14,6.669985345365943e-19,7.166877765354697e-24,9.127252260134128e-29,1.0050193669404379e-33
0.0703125,0.21910124015687032,0.00035013538742572573,8.01827157650908e-09,9.651737219960402e-14,1.2513635757592071e-18,1.3681000108970492e-23,1.7625462054713853e-28,1.95721219333689e-33
0.07421875,0.23105810828067158,0.0005169778128935265,1.3685160108954835e-08,1.7440256885656126e-13,2.3286734819554223e-18,2.592958007957439e-23,3.3815389682088505e-28,3.7886353933594455e-33
0.078125,0.24298017990326432,0.0007497366890876943,2.3073727371872075e-08,3.1220443415351604e-13,4.299721852248417e-18,4.880922159006428e-23,6.447630731050128e-28,7.29201093689693e-33
0.08203125,0.25486565960451524,0.0010686005273745792,3.844358589821463e-08,5.538446430525645e-13,7.879505841099411e-18,9.127585379752265e-23,1.2221263217434964e-27,1.395884349124354e-32
0.0859375,0.2667127574748991,0.0014977824099966313,6.331292821893451e-08,9.738842929066877e-13,1.4334691602056958e-17,1.6961336255027114e-22,2.303372334499179e-27,2.6582193962216363e-32
0.08984375,0.27851968938505367,0.002065648907181383,1.0309436223433035e-07,1.6978210077633012e-12,2.5893992363214178e-17,3.1325891975157592e-22,4.3175042008982355e-27,5.03685700918964e-32
0.09375,0.29028467725446294,0.002804653327131174,1.660171164567406e-07,2.935116436703708e-12,4.645264448513064e-17,5.75127329329539e-22,8.050062894503877e-27,9.498014268596836e-32
0.09765625,0.30200594931922864,0.0037510381333910854,2.644473904555225e-07,5.032483436161304e-12,8.277379744165216e-17,1.049809256873864e-21,1.4932469600363237e-26,1.782699108367525e-31
0.1015625,0.3136817403988923,0.004944285171187651,4.1675447522040586e-07,8.559138923693341e-12,1.4652401464982425e-16,1.905475861735724e-21,2.756068369386854e-26,3.330849992303743e-31
0.10546875,0.32531029216226376,0.006426310515742462,6.499144007751713e-07,1.4442062415245934e-11,2.576998375273281e-16,3.4395161891991796e-21,5.062065631473501e-26,6.196079506041306e-31
0.109375,0.3368898533922209,0.008240421723798477,1.0030959598258343e-06,2.4178818647989252e-11,4.50359371772174e-16,6.17505242164773e-21,9.253217271636516e-26,1.1476544589618655e-30
0.11328125,0.3484186802494353,0.010430076917697196,1.5325362315256436e-06,4.016967644717155e-11,7.821490422107633e-16,1.1027498319980475e-20,1.683557030863909e-25,2.116801099795177e-30
0.1171875,0.3598950365349888,0.013037505056163827,2.318083737297295e-06,6.623167022151403e-11,1.3500395446041739e-15,1.9590517162141055e-20,3.049099911981405e-25,3.8883194789601e-30
0.12109375,0.3713171939518383,0.016102262586369178,3.471865720138089e-06,1.0838782984599422e-10,2.3161568192323984e-15,3.46244760105506e-20,5.497424003815739e-25,7.113631883447039e-30
0.125,0.3826834323650908,0.019659811447434544,5.1496191757839e-06,1.760691080648236e-10,3.94992340542797e-15,6.088658638465496e-20,9.867846565036689e-25,1.2962828115949384e-29
0.12890625,0.3939920400610491,0.02374020579771415,7.565309163125748e-06,2.8393013417660503e-10,6.696388993862919e-15,1.0653469973585858e-19,1.7635596094023996e-24,2.3529658827187345e-29
0.1328125,0.4052413140049907,0.028366969423510364,1.1009736927356174e-05,4.5457038485874084e-10,1.1286353305479726e-14,1.8548940246014968e-19,3.1382611157017456e-24,4.2546622231813374e-29
0.13671875,0.4164295600976379,0.03355623304076873,1.58739070800412e-05,7.225798464856258e-10,1.891277180796042e-14,3.21389030658512e-19,5.560880915033996e-24,7.664292167509204e-29
0.140625,0.42755509343028314,0.03931618196360905,2.2677968373455527e-05,1.1405062324533463e-09,3.151164518144886e-14,5.5417944932353375e-19,9.812421510579899e-24,1.3754934037788844e-28
0.14453125,0.43861623853852866,0.04564684188235083,3.210655584769607e-05,1.7875870019738081e-09,5.220660985934126e-14,9.510405117576103e-19,1.7242795290167374e-23,2.459488177803838e-28
0.1484375,0.4496113296546075,0.05254020614375468,4.505133159751588e-05,2.7824267257423504e-09,8.60084583757442e-14,1.624415691702558e-18,3.017569639584718e-23,4.381768968130669e-28
0.15234375,0.4605387109582409,0.05998068439076843,6.266143496329391e-05,4.301258092340998e-09,1.4090926818369e-13,2.7616198248579275e-18,5.259482412453282e-23,7.7783967779842405e-28
0.15625,0.4713967368259985,0.06794583188599726,8.640239895824313e-05,6.6040400968403325e-09,2.295836840732482e-13,4.673228057575892e-18,9.130225396506879e-23,1.3758869041706994e-27
0.16015625,0.4821837720791237,0.07640730300949014,0.00011812385820455808,1.0071465857785957e-08,3.7201879516009306e-13,7.871784127224002e-18,1.5786592448523682e-22,2.4251714617402092e-27
0.1640625,0.4928981922297849,0.08533196233690103,0.00016013605752198198,1.5257031750050254e-08,5.995557608568974e-13,1.319922055118538e-17,2.718806758190712e-22,4.259741792462447e-27
0.16796875,0.5035383837257188,0.09468308271566088,0.0002152947669006016,2.295972765425238e-08,9.61064974907092e-13,2.2032168278032084e-17,4.66407025257741e-22,7.456213945360802e-27
0.171875,0.5141027441932227,0.10442156155055125,0.0002870937209102701,3.4324726617142193e-08,1.5323264808501183e-12,3.6611219746112804e-17,7.970059766311848e-22,1.300648785488422e-26
0.17578125,0.5245896826784702,0.11450709323086479,0.00037976313854682487,5.0981776291069526e-08,2.430197231749724e-12,6.056651991529305e-17,1.3566882163979417e-21,2.2611006987548743e-26
0.1796875,0.5349976198870984,0.12489924605292371,0.0004983722606929747,7.523393315446225e-08,3.833885052783331e-12,9.975285483114218e-17,2.300552122468046e-21,3.917498829738919e-26
0.18359375,0.5453249884220477,0.13555840470639016,0.0006489331924132586,1.1031295565572223e-07,6.016711368917384e-12,1.6357035337582217e-16,3.8862310931220656e-21,6.764524314914256e-26
0.1875,0.5555702330196035,0.14644655299212872,0.0008385026895525741,1.6072221694997965e-07,9.393263382449922e-12,2.670435721434074e-16,6.540035612816393e-21,1.1641657406955251e-25
0.19140625,0.5657318107836142,0.15752788466404954,0.0010752779235590252,2.326935520263133e-07,1.4588993807663756e-11,4.3407942903024545e-16,1.0964693060992645e-20,1.996874504740831e-25
0.1953125,0.5758081914178463,0.16876924213239236,0.0013686817398997576,3.34791159780534e-07,2.2542371773607044e-11,7.02549052393531e-16,1.83141679677569e-20,3.413924453485406e-25
0.19921875,0.58579785745644,0.18014039253668515,0.0017294325408878347,4.787036740313537e-07,3.465396035598873e-11,1.13217851783226e-15,3.0476235035600435e-20,5.81744867606392e-25
0.203125,0.5956993044924346,0.19161415801858556,0.0021695937191797076,6.802749183467627e-07,5.3002750064267276e-11,1.816745371036793e-15,5.052746622076924e-20,9.880858579933111e-25
0.20703125,0.6055110414043267,0.20316642181557978,0.0027025975849581437,9.608347581719873e-07,8.065832279204532e-11,2.9028451330029922e-15,8.346302870553008e-20,1.67281480213878e-24
0.2109375,0.6152315905806282,0.21477603421183628,0.003343239000725929,1.3489039051437292e-06,1.2212876590000185e-10,4.61863652017206e-15,1.3736281504993504e-19,2.822925079742255e-24
0.21484375,0.6248594881423876,0.22642464274862764,0.004107634483420476,1.882360493770619e-06,1.8399976638802424e-10,7.317673162707582e-15,2.2524769780108493e-19,4.748496239854824e-24
0.21875,0.6343932841636469,0.2380964698402805,0.005013143359695891,2.611171636289988e-06,2.758413827572288e-10,1.1545439733303765e-14,3.6802313348248767e-19,7.962047512498459e-24
0.22265625,0.6438315428897928,0.2497780585256624,0.006078248654687259,3.600809756846273e-06,4.114874227415812e-10,1.813990102717097e-14,5.991294257259918e-19,1.330796814886293e-23
0.2265625,0.6531728429537784,0.261458003957399,0.007322396726760031,4.936490970639811e-06,6.108304716785836e-10,2.8382772862989168e-14,9.718604734107066e-19,2.2172936915957066e-23
0.23046875,0.6624157775901736,0.2731266847863462,0.00876579618173203,6.728390615034222e-06,9.023263835967348e-10,4.422608791514802e-14,1.5708390131146725e-18,3.682689519299286e-23
0.234375,0.6715589548470198,0.2847760051575434,0.010429178244356402,9.118008594530013e-06,1.3264692173775683e-09,6.863002711417472e-14,2.5299415401163073e-18,6.097378198327154e-23
0.23828125,0.6806009977954545,0.2963991548325095,0.012333522453637124,1.228587362160517e-05,1.9405858823252267e-09,1.0606442650423857e-13,4.060193369837311e-18,1.0063819516343969e-22
0.2421875,0.689540544737068,0.3079903921461039,0.014499753194108678,1.646078968020655e-05,2.825415008623434e-09,1.6324996722663196e-13,6.493017664372436e-18,1.655882743309918e-22
0.24609375,0.6983762494089741,0.3195448521763344,0.016948414086434042,2.1930838878500578e-05,4.0940839994233364e-09,2.502487677639509e-13,1.0347040348377543e-17,2.716117451428904e-22
0.25,0.7071067811865488,0.3310583806754671,0.019699328549080863,2.9056360888809902e-05,5.9042906715735366e-09,3.820620268633065e-13,1.6430898270060096e-17,4.441449957977592e-22
0.25390625,0.7157308252838203,0.3425273929595025,0.022771255828724624,3.8285128847926195e-05,8.474742017393637e-09,5.809601828020356e-13,2.6000868792310454e-17,7.240409928949984e-22
0.2578125,0.7242470829514687,0.3539487560302025,0.02618155241522134,5.016993326500063e-05,1.2107215190048506e-08,8.798665526007057e-13,4.100166215046962e-17,1.176707311183121e-21
0.26171875,0.7326542716724146,0.3653196916426574,0.029945848961695744,6.538876747800182e-05,1.7215999955198012e-08,1.3272492470864768e-12,6.443289796532568e-17,1.9065372670253846e-21
0.265625,0.7409511253549609,0.3766376977592055,0.03407775259864225,8.476777888205358e-05,2.4366975274821326e-08,1.994162812421806e-12,1.0090481971137446e-16,3.0796276949411266e-21
0.26953125,0.7491363945234609,0.38790048577644887,0.03858858386496264,0.00010930710803827611,3.432918588932123e-08,2.9843401238429216e-12,1.5747787628761388e-16,4.959428321267237e-21
0.2734375,0.7572088465064856,0.39910593101202785,0.04348715640564067,0.0001402096816320959,4.814254114389921e-08,4.448592921737159e-12,2.4492653603374537e-16,7.962506776409894e-21
0.27734375,0.7651672656224607,0.41025203413728034,0.048779606155777006,0.000178912954236635,6.720618420928514e-08,6.605271322345742e-12,3.796347522013597e-16,1.2745504395782225e-20
0.28125,0.7730104533627383,0.4213368914971855,0.05446927501460919,0.00022712350760605124,9.339320446379476e-08,9.769205625640483e-12,5.864284263911104e-16,2.0340301499935396e-20
0.28515625,0.7807372285720957,0.43235867253685034,0.060556652097011804,0.00028685431505963275,1.2919872089681488e-07,1.4392469960430293e-11,9.027926812556744e-16,3.23634597311483e-20
0.2890625,0.7883464276266078,0.44331560283056787,0.06703937362970182,0.00036046436344323743,1.779299838161714e-07,2.112154861272371e-11,1.3851282119391615e-15,5.133974074525483e-20
0.29296875,0.7958369046088856,0.4542059514694758,0.07391228053445083,0.00045070019802341196,2.439490610871366e-07,3.087715945536439e-11,2.1179990288478066e-15,8.120027055690015e-20
0.296875,0.8032075314806467,0.46502802179785346,0.0811675308078612,0.0005607388192250035,3.3298092907328115e-07,4.496523427524107e-11,3.2277525015459847e-15,1.2804723231674824e-19
0.30078125,0.8104571982525969,0.47578014469179236,0.08879476205506283,0.0006942312180213371,4.5250241172608984e-07,6.523055363025277e-11,4.9025065781337175e-15,2.0132402588481854e-19
0.3046875,0.8175848131515857,0.4864606737463985,0.09678129803791867,0.0008553456935697577,6.12230435266348e-07,9.426851670391918e-11,7.42137517016754e-15,3.156003144600927e-19
0.30859375,0.8245893027850271,0.4970679818803173,0.1051123919146067,0.0010488099577047464,8.247315168061419e-07,1.3571579207453163e-10,1.1197048079556459e-14,4.932866066984409e-19
0.3125,0.8314696123025472,0.5076004589819124,0.11377149801462774,0.0012799509021774358,1.106178301385611e-06,1.946475220482615e-10,1.683760532731295e-14,7.687496170559478e-19
0.31640625,0.8382247055548396,0.5180565103133569,0.1227405635285042,0.0015547307925632043,1.4772833105476693e-06,2.7811782017373525e-10,2.5235933245345525e-14,1.1945319265337133e-18
0.3203125,0.8448535652497083,0.528434555460837,0.1320003313914876,0.0018797785642765592,1.96444485951235e-06,3.9589211091109794e-10,3.769860495469699e-14,1.8507228956245017e-18
0.32421875,0.8513551931052671,0.5387330276745177,0.14153064588370784,0.0022624148377973384,2.6011453135867426e-06,5.614351645902356e-10,5.613098023648854e-14,2.8590339067124154e-18
0.328125,0.857728610000274,0.5489503734840623,0.15131075301775107,0.0027106692482904288,3.4296474394540533e-06,7.93238414099303e-10,8.330210138049897e-14,4.403874499917454e-18
0.33203125,0.8639728561215886,0.559085052507138,0.16131958858873485,0.003233288704810006,4.503040488433585e-06,1.1165954550818296e-09,1.232224364502257e-13,6.763814605759455e-18
0.3359375,0.8700869911087132,0.5691355373917703,0.1715360477633194,0.0038397352606336066,5.887693720739204e-06,1.5659669421233256e-09,1.8168063079524867e-13,1.035840696018174e-17
