example,regime,stabilization,nx,time_idx,l2_error,order
example1,transition,bubble,32,0,0.0006214065030467568,
example1,transition,bubble,32,71,0.04397845904110104,
example1,transition,bubble,32,142,0.07917701885377162,
example1,transition,bubble,32,214,0.09887751822753786,
example1,transition,bubble,32,285,0.09878131778381027,
example1,transition,bubble,32,357,0.07901613742553354,
example1,transition,bubble,32,428,0.04420806463328312,
example1,transition,bubble,32,500,0.007646072733454252,
example1,transition,bubble,64,428,0.028484299346585733,0.6341426571167452
example1,transition,bubble,64,357,0.05097862120747008,0.6322549701974594
example1,transition,bubble,64,285,0.06374484514894674,0.6319295346516616
example1,transition,bubble,64,500,0.0051122433730270735,0.580762405171498
example1,transition,bubble,64,142,0.051108372114344235,0.6315221086651999
example1,transition,bubble,64,71,0.028391788062264604,0.6313233443762889
example1,transition,bubble,64,0,0.00015535835673787367,1.9999374931832892
example1,transition,bubble,64,214,0.06381623382392132,0.6317190637263447
example1,transition,bubble,128,500,0.0029770522587678314,0.7800719720687804
example1,transition,bubble,128,428,0.016444952969938084,0.7925220371126122
example1,transition,bubble,128,285,0.036851772795579676,0.790574656902468
example1,transition,bubble,128,357,0.029462573378206142,0.7910089074639892
example1,transition,bubble,128,142,0.029560839320772286,0.7898724073624734
example1,transition,bubble,128,71,0.01643065589832992,0.7890836375447431
example1,transition,bubble,128,0,3.8769919560260824e-05,2.002590199318872
example1,transition,bubble,128,214,0.03690127865055087,0.7902526617361608
example1,transition,bubble,256,428,0.007110989040049038,1.2095227444870744
example1,transition,bubble,256,0,9.403180385521547e-06,2.0437170426133804
example1,transition,bubble,256,71,0.007133864377037494,1.2036343787553565
example1,transition,bubble,256,142,0.012819740936703499,1.205320124451176
example1,transition,bubble,256,214,0.015994564224659724,1.2060891209130307
example1,transition,bubble,256,285,0.015966265862028456,1.2067070840336618
example1,transition,bubble,256,357,0.012757810317421592,1.2075027127323241
example1,transition,bubble,256,500,0.001285636172902978,1.211402120031733
