example,regime,stabilization,nx,time_idx,l2_error,order
example2,transition,none,32,0,0.005396583828336038,
example2,transition,none,32,71,0.12773798465493413,
example2,transition,none,32,142,0.0937918881325772,
example2,transition,none,32,214,0.09325179237596043,
example2,transition,none,32,285,0.10341504889636365,
example2,transition,none,32,357,0.0960228648101827,
example2,transition,none,32,428,2.8669950960604003,
example2,transition,none,32,500,3.7909818727555056,
example2,transition,none,64,428,1.45371735382365,0.9797926434642584
example2,transition,none,64,357,0.02582018094473374,1.8948788680500426
example2,transition,none,64,285,0.035692851952333716,1.5347390548364668
example2,transition,none,64,500,1.8545829189278342,1.0314767854387281
example2,transition,none,64,142,0.025735243069823138,1.8657177435216565
example2,transition,none,64,71,0.035125301883264216,1.8626050644503893
example2,transition,none,64,0,0.0013596629891850518,1.9887973300461477
example2,transition,none,64,214,0.02551728218980785,1.8696567775713215
example2,transition,none,128,500,0.8578920595755262,1.1122267289703207
example2,transition,none,128,428,0.6777361449632089,1.10095117311543
example2,transition,none,128,285,0.014008862033270064,1.3492954134607542
example2,transition,none,128,357,0.009915819849337622,1.3806951450295049
example2,transition,none,128,142,0.006584389922338066,1.9666237302331397
example2,transition,none,128,71,0.009027332789544212,1.9601389266364524
example2,transition,none,128,0,0.0003399637094700381,1.9997964498274459
example2,transition,none,128,214,0.0065392536063316065,1.9642767975439823
example2,transition,none,256,428,0.2612978910046142,1.3750282348049068
example2,transition,none,256,0,8.249449323282298e-05,2.0430110261673904
example2,transition,none,256,71,0.002196025824093175,2.039404773065781
example2,transition,none,256,142,0.0016001311272211705,2.040859637905281
example2,transition,none,256,214,0.0015901478316345482,2.039965080086793
example2,transition,none,256,285,0.005125376660245056,1.4506098313955476
example2,transition,none,256,357,0.003945744558799166,1.3294344994605494
example2,transition,none,256,500,0.32983453403982066,1.3790536800571216
