example,regime,stabilization,nx,time_idx,l2_error,order
example2,advection,artificial,32,0,0.005396583828336038,
example2,advection,artificial,32,71,1.5393397342681303,
example2,advection,artificial,32,142,2.0178666668556113,
example2,advection,artificial,32,214,2.197197188273008,
example2,advection,artificial,32,285,2.3368467099441452,
example2,advection,artificial,32,357,2.060763040503663,
example2,advection,artificial,32,428,2.6302576079112794,
example2,advection,artificial,32,500,2.353668083748401,
example2,advection,artificial,64,428,1.6437709091009804,0.6781948583570042
example2,advection,artificial,64,357,1.3168124270892603,0.6461287682523218
example2,advection,artificial,64,285,1.453342917988911,0.6851879520596738
example2,advection,artificial,64,500,1.434621181168245,0.7142410482393436
example2,advection,artificial,64,142,1.1690829929249806,0.7874534995722214
example2,advection,artificial,64,71,0.8458737045289637,0.8637974924315409
example2,advection,artificial,64,0,0.0013596629891850518,1.9887973300461477
example2,advection,artificial,64,214,1.328962374815881,0.7253640907275882
example2,advection,artificial,128,500,0.8237582514477135,0.8003769198746269
example2,advection,artificial,128,428,0.9265193822261419,0.8271161839064441
example2,advection,artificial,128,285,0.7811606291744874,0.8956840050157902
example2,advection,artificial,128,357,0.7383825981558929,0.8346093982537789
example2,advection,artificial,128,142,0.5832330618411782,1.0032329406665137
example2,advection,artificial,128,71,0.39961279799636795,1.0818394863123224
example2,advection,artificial,128,0,0.0003399637094700381,1.9997964498274459
example2,advection,artificial,128,214,0.6957756875601371,0.9336060870810017
example2,advection,artificial,256,428,0.40456282123761267,1.1954574125637836
example2,advection,artificial,256,0,8.249449323282298e-05,2.0430110261673904
example2,advection,artificial,256,71,0.14062371410742772,1.506762883524765
example2,advection,artificial,256,142,0.21380547478740292,1.4477737085551463
example2,advection,artificial,256,214,0.2649562613795552,1.3928680466598877
example2,advection,artificial,256,285,0.30446407668386694,1.3593472221361
example2,advection,artificial,256,357,0.2990881074926909,1.303798006288186
example2,advection,artificial,256,500,0.3856995232974102,1.0947436485473199
