example,regime,stabilization,nx,time_idx,l2_error,order
example2,diffusion,artificial,32,0,0.005396583828336038,
example2,diffusion,artificial,32,71,0.0051692076485475745,
example2,diffusion,artificial,32,142,0.005229318020183686,
example2,diffusion,artificial,32,214,0.0052446325457008135,
example2,diffusion,artificial,32,285,0.0052485307343443,
example2,diffusion,artificial,32,357,0.005249543259703432,
example2,diffusion,artificial,32,428,0.005249796850382265,
example2,diffusion,artificial,32,500,0.005249862328805964,
example2,diffusion,artificial,64,428,0.0013402414571534232,1.9697686571427173
example2,diffusion,artificial,64,357,0.0013401600815207799,1.9697865652648407
example2,diffusion,artificial,64,285,0.001339821468279483,1.9698728396300331
example2,diffusion,artificial,64,500,0.0013402616447632523,1.9697649204654575
example2,diffusion,artificial,64,142,0.0013328547570769116,1.9721032335033601
example2,diffusion,artificial,64,71,0.0013102929940412486,1.980053708678683
example2,diffusion,artificial,64,0,0.0013596629891850518,1.9887973300461477
example2,diffusion,artificial,64,214,0.0013384604765909948,1.9702671586527423
example2,diffusion,artificial,128,500,0.0003555733023922755,1.9142957588236604
example2,diffusion,artificial,128,428,0.0003555617695468302,1.9143208220173822
example2,diffusion,artificial,128,285,0.00035531625555137504,1.9148651759163218
example2,diffusion,artificial,128,357,0.0003555146726066531,1.9144243319470806
example2,diffusion,artificial,128,142,0.0003511730864535963,1.9242653890806274
example2,diffusion,artificial,128,71,0.0003384289446229178,1.9529645808226617
example2,diffusion,artificial,128,0,0.0003399637094700381,1.9997964498274459
example2,diffusion,artificial,128,214,0.00035451007748679,1.9166759942998364
example2,diffusion,artificial,256,428,9.365736903241394e-05,1.924635795722418
example2,diffusion,artificial,256,0,8.249449323282298e-05,2.0430110261673904
example2,diffusion,artificial,256,71,8.591200027353033e-05,1.9779213946778895
example2,diffusion,artificial,256,142,9.161869170452955e-05,1.9384684156998984
example2,diffusion,artificial,256,214,9.31643083316482e-05,1.9279773760087269
example2,diffusion,artificial,256,285,9.354145959866669e-05,1.9254258472826504
example2,diffusion,artificial,256,357,9.363499985068771e-05,1.924789302109109
example2,diffusion,artificial,256,500,9.366288836015724e-05,1.9245975725479585
