example,regime,stabilization,nx,time_idx,l2_error,order
example2,mixed,artificial,32,0,0.005396583828336038,
example2,mixed,artificial,32,71,0.06309746277196655,
example2,mixed,artificial,32,142,0.08708866283302347,
example2,mixed,artificial,32,214,0.10544973239258434,
example2,mixed,artificial,32,285,0.1196313087326013,
example2,mixed,artificial,32,357,0.13139317772969766,
example2,mixed,artificial,32,428,0.14137835660435558,
example2,mixed,artificial,32,500,0.1506120337990324,
example2,mixed,artificial,64,428,0.05796597495419485,1.2862830608470628
example2,mixed,artificial,64,357,0.05306803598397556,1.3079753076071419
example2,mixed,artificial,64,285,0.04733577165472307,1.337592261100493
example2,mixed,artificial,64,500,0.06251205593393933,1.26863068833903
example2,mixed,artificial,64,142,0.03180092067216098,1.453416387842906
example2,mixed,artificial,64,71,0.020908807522272914,1.5934712097653976
example2,mixed,artificial,64,0,0.0013596629891850518,1.9887973300461477
example2,mixed,artificial,64,214,0.040495314262790856,1.3807285462497345
example2,mixed,artificial,128,500,0.025239480500415964,1.3084522356162345
example2,mixed,artificial,128,428,0.023238948629920167,1.3186615109124296
example2,mixed,artificial,128,285,0.018574563670869917,1.3496025194577599
example2,mixed,artificial,128,357,0.021086714172345988,1.3315088511178133
example2,mixed,artificial,128,142,0.011823034506542417,1.4274681678013725
example2,mixed,artificial,128,71,0.007183101526080501,1.5414319721787118
example2,mixed,artificial,128,0,0.0003399637094700381,1.9997964498274459
example2,mixed,artificial,128,214,0.015589351863213622,1.3771940341836377
example2,mixed,artificial,256,428,0.0074975769151939785,1.6320484777892317
example2,mixed,artificial,256,0,8.249449323282298e-05,2.0430110261673904
example2,mixed,artificial,256,71,0.0021236652694617423,1.7580505191990017
example2,mixed,artificial,256,142,0.003663643478640082,1.6902493440307884
example2,mixed,artificial,256,214,0.0049238027275336615,1.662716081933421
example2,mixed,artificial,256,285,0.0059264375827757804,1.6480912635052545
example2,mixed,artificial,256,357,0.006772065916083908,1.6386663844207248
example2,mixed,artificial,256,500,0.008172492391180128,1.6268341819832173
