example,regime,stabilization,nx,time_idx,l2_error,order
example2,mixed,streamline,32,0,0.005396583828336038,
example2,mixed,streamline,32,71,0.04439114294599704,
example2,mixed,streamline,32,142,0.050848111532417584,
example2,mixed,streamline,32,214,0.054381135472351724,
example2,mixed,streamline,32,285,0.0566260601629,
example2,mixed,streamline,32,357,0.058238425307499966,
example2,mixed,streamline,32,428,0.05941173490334448,
example2,mixed,streamline,32,500,0.06031008600355567,
example2,mixed,streamline,64,428,0.017433654637996104,1.7688728827417286
example2,mixed,streamline,64,357,0.016863104879129384,1.78810115390116
example2,mixed,streamline,64,285,0.01611998833608157,1.8126154558206657
example2,mixed,streamline,64,500,0.01788394980238571,1.7537338909490965
example2,mixed,streamline,64,142,0.013815869644109354,1.8798678183854585
example2,mixed,streamline,64,71,0.011666202386043815,1.9279368469961478
example2,mixed,streamline,64,0,0.0013596629891850518,1.9887973300461477
example2,mixed,streamline,64,214,0.015164895002601557,1.842370765808326
example2,mixed,streamline,128,500,0.005628858554357423,1.667751100777849
example2,mixed,streamline,128,428,0.005417343757895573,1.6862174899323357
example2,mixed,streamline,128,285,0.004817657590560574,1.7424469355255
example2,mixed,streamline,128,357,0.005152690624037714,1.7104723150979877
example2,mixed,streamline,128,142,0.0038729883383243997,1.8348073133954002
example2,mixed,streamline,128,71,0.0031150338059643926,1.9050152821269626
example2,mixed,streamline,128,0,0.0003399637094700381,1.9997964498274459
example2,mixed,streamline,128,214,0.004407970448356408,1.7825490521615401
example2,mixed,streamline,256,428,0.0015260802670297856,1.8277547946231563
example2,mixed,streamline,256,0,8.249449323282298e-05,2.0430110261673904
example2,mixed,streamline,256,71,0.0007847424361749608,1.9889566967954626
example2,mixed,streamline,256,142,0.0010110621997329442,1.9375754039688435
example2,mixed,streamline,256,214,0.0011822994259863687,1.898519097041976
example2,mixed,streamline,256,285,0.0013192693067924854,1.8685927625923542
example2,mixed,streamline,256,357,0.0014341513694885425,1.8451286700059415
example2,mixed,streamline,256,500,0.0015998743072101781,1.8148838302429313
