example,regime,stabilization,nx,time_idx,l2_error,order
example2,advection,bubble,32,0,0.005396583828336038,
example2,advection,bubble,32,71,0.015251660712587559,
example2,advection,bubble,32,142,0.011500749575808569,
example2,advection,bubble,32,214,0.009209716857771453,
example2,advection,bubble,32,285,0.007940711061732903,
example2,advection,bubble,32,357,0.05224035016781395,
example2,advection,bubble,32,428,0.07166007485785043,
example2,advection,bubble,32,500,0.05690743267108507,
example2,advection,bubble,64,428,0.04716659187215619,0.6034041911547882
example2,advection,bubble,64,357,0.033927329828618055,0.6227166767545724
example2,advection,bubble,64,285,0.002033652447304646,1.9651950586148017
example2,advection,bubble,64,500,0.036935029698720215,0.6236273573231874
example2,advection,bubble,64,142,0.002754948763913577,2.0616305005443905
example2,advection,bubble,64,71,0.004248092076052834,1.8440794008848238
example2,advection,bubble,64,0,0.0013596629891850518,1.9887973300461477
example2,advection,bubble,64,214,0.0021841421037623173,2.076090079639304
example2,advection,bubble,128,500,0.02236361092960171,0.7238365866490923
example2,advection,bubble,128,428,0.02853827602696533,0.7248671740059044
example2,advection,bubble,128,285,0.0006864663189216844,1.5668123004081154
example2,advection,bubble,128,357,0.020529366202638392,0.7247588023527622
example2,advection,bubble,128,142,0.0006721091629344327,2.035258010586714
example2,advection,bubble,128,71,0.0010348475912605988,2.037396728158059
example2,advection,bubble,128,0,0.0003399637094700381,1.9997964498274459
example2,advection,bubble,128,214,0.000536246162598686,2.0260993995753434
example2,advection,bubble,256,428,0.013737138007777303,1.05481672075907
example2,advection,bubble,256,0,8.249449323282298e-05,2.0430110261673904
example2,advection,bubble,256,71,0.00024927995503633374,2.053579524881887
example2,advection,bubble,256,142,0.00016240745517280425,2.0490777126375255
example2,advection,bubble,256,214,0.00012977722174200846,2.046858232268633
example2,advection,bubble,256,285,0.0002719532062639804,1.3358305021628893
example2,advection,bubble,256,357,0.009888970731640688,1.0537968135468085
example2,advection,bubble,256,500,0.010775761711679002,1.0533632976171978
