example,regime,stabilization,nx,time_idx,l2_error,order
example2,diffusion,bubble,32,0,0.005396583828336038,
example2,diffusion,bubble,32,71,1.3147180014733215,
example2,diffusion,bubble,32,142,1.5512690496815913,
example2,diffusion,bubble,32,214,1.6122541223811142,
example2,diffusion,bubble,32,285,1.627179159579697,
example2,diffusion,bubble,32,357,1.6309342180175277,
example2,diffusion,bubble,32,428,1.6318478650353883,
example2,diffusion,bubble,32,500,1.6320774199732253,
example2,diffusion,bubble,64,428,1.631976076607837,-0.00011334569704663183
example2,diffusion,bubble,64,357,1.6310625188491445,-0.000113488141492613
example2,diffusion,bubble,64,285,1.627307759688146,-0.00011401535382757644
example2,diffusion,bubble,64,500,1.6322056050242737,-0.0001133063132960051
example2,diffusion,bubble,64,142,1.5514011803952579,-0.00012287759338605085
example2,diffusion,bubble,64,71,1.3148548785047396,-0.00015019307212997657
example2,diffusion,bubble,64,0,0.0013596629891850518,1.9887973300461477
example2,diffusion,bubble,64,214,1.6123836425691693,-0.00011589403010379645
example2,diffusion,bubble,128,500,1.6322697766246106,-5.671971067963038e-05
example2,diffusion,bubble,128,428,1.6320402488204118,-5.672822904414979e-05
example2,diffusion,bubble,128,285,1.6273719067549872,-5.6868672014332885e-05
example2,diffusion,bubble,128,357,1.6311266894372523,-5.675856508296518e-05
example2,diffusion,bubble,128,142,1.551464220901118,-5.86220885727059e-05
example2,diffusion,bubble,128,71,1.3149129021354846,-6.36637234360264e-05
example2,diffusion,bubble,128,0,0.0003399637094700381,1.9997964498274459
example2,diffusion,bubble,128,214,1.612447628864443,-5.7251188120134865e-05
example2,diffusion,bubble,256,428,1.6320723417167171,-2.8369280203836254e-05
example2,diffusion,bubble,256,0,8.249449323282298e-05,2.0430110261673904
example2,diffusion,bubble,256,71,1.3149392979376608,-2.896063352926344e-05
example2,diffusion,bubble,256,142,1.5514949751322629,-2.8597847382127917e-05
example2,diffusion,bubble,256,214,1.6124794188801626,-2.8442998772276445e-05
example2,diffusion,bubble,256,285,1.6274039322849534,-2.8390940298385464e-05
example2,diffusion,bubble,256,357,1.6311587699742376,-2.837423775152208e-05
example2,diffusion,bubble,256,500,1.632301872371381,-2.8367810346590975e-05
