example,regime,stabilization,nx,time_idx,l2_error,order
example3,transition,artificial,32,0,0.008991683640911848,
example3,transition,artificial,32,71,1.3429889379303517,
example3,transition,artificial,32,142,1.4984255612146744,
example3,transition,artificial,32,214,1.5825695671855025,
example3,transition,artificial,32,285,1.626066156189296,
example3,transition,artificial,32,357,1.4748239489328043,
example3,transition,artificial,32,428,1.7875866242961378,
example3,transition,artificial,32,500,1.5130265637029923,
example3,transition,artificial,64,428,1.0884295441473246,0.7157651323484077
example3,transition,artificial,64,357,0.8907478865812353,0.7274536884541265
example3,transition,artificial,64,285,1.027633811369074,0.6620596904665477
example3,transition,artificial,64,500,0.9037096767652855,0.7435060406684659
example3,transition,artificial,64,142,0.8946095183747128,0.7441174020513991
example3,transition,artificial,64,71,0.7742944765841564,0.7944931656121148
example3,transition,artificial,64,0,0.002283628351197565,1.9772633987755632
example3,transition,artificial,64,214,0.9751719802358213,0.698540341085042
example3,transition,artificial,128,500,0.49902526792944407,0.8567465032579231
example3,transition,artificial,128,428,0.5924496327360188,0.8774836092696371
example3,transition,artificial,128,285,0.5615624427441551,0.8718079072703567
example3,transition,artificial,128,357,0.48067101626682424,0.8899673415994193
example3,transition,artificial,128,142,0.4636243653714307,0.9483017203552153
example3,transition,artificial,128,71,0.3800774416137761,1.026588949959143
example3,transition,artificial,128,0,0.0005721403004474323,1.99688700489536
example3,transition,artificial,128,214,0.5231072579980705,0.8985498861476399
example3,transition,artificial,256,428,0.24653642197659523,1.2648917096971828
example3,transition,artificial,256,0,0.00013890453617382292,2.0422752547250567
example3,transition,artificial,256,71,0.13724302127296267,1.4695606098913017
example3,transition,artificial,256,142,0.1758195086006412,1.398861229827653
example3,transition,artificial,256,214,0.20415929809515124,1.3574115130291586
example3,transition,artificial,256,285,0.2226072598518751,1.334945807718397
example3,transition,artificial,256,357,0.19170718107212528,1.3261454345000638
example3,transition,artificial,256,500,0.2154018283574789,1.2120823719450353
