example,regime,stabilization,nx,time_idx,l2_error,order
example3,advection,streamline,32,0,0.008991683640911848,
example3,advection,streamline,32,71,1.3745480054143608,
example3,advection,streamline,32,142,1.5473294422826993,
example3,advection,streamline,32,214,1.657706496505331,
example3,advection,streamline,32,285,1.714629193236033,
example3,advection,streamline,32,357,1.418247059039794,
example3,advection,streamline,32,428,1.7936032471523624,
example3,advection,streamline,32,500,1.541465781494456,
example3,advection,streamline,64,428,1.1146802653944639,0.6862308479201804
example3,advection,streamline,64,357,0.8769277227909462,0.6935790279567284
example3,advection,streamline,64,285,1.1115668010567015,0.6253019604023995
example3,advection,streamline,64,500,0.9398439208768435,0.7138097692840774
example3,advection,streamline,64,142,0.9425000860903009,0.7152157387647332
example3,advection,streamline,64,71,0.8001391691430677,0.7806344365708343
example3,advection,streamline,64,0,0.002283628351197565,1.9772633987755632
example3,advection,streamline,64,214,1.0440871361713142,0.6669464749344198
example3,advection,streamline,128,500,0.5430977276169335,0.7912093626048193
example3,advection,streamline,128,428,0.6321966351901139,0.8181846854432246
example3,advection,streamline,128,285,0.6216902205589668,0.8383268616259799
example3,advection,streamline,128,357,0.4917855715955194,0.8344285306894265
example3,advection,streamline,128,142,0.49752173742370814,0.9217331897540536
example3,advection,streamline,128,71,0.39610663245968575,1.0143620933498863
example3,advection,streamline,128,0,0.0005721403004474323,1.99688700489536
example3,advection,streamline,128,214,0.5722103833778166,0.8676245373667908
example3,advection,streamline,256,428,0.2850249495277345,1.14928514619681
example3,advection,streamline,256,0,0.00013890453617382292,2.0422752547250567
example3,advection,streamline,256,71,0.1438892693024675,1.4609298525631629
example3,advection,streamline,256,142,0.1913406970364857,1.378615801368289
example3,advection,streamline,256,214,0.2274568759749809,1.330952629498672
example3,advection,streamline,256,285,0.2517459316862556,1.304227420973302
example3,advection,streamline,256,357,0.20459143831552595,1.2652836357425343
example3,advection,streamline,256,500,0.2556502613121511,1.0870403262014934
