example,regime,stabilization,nx,time_idx,l2_error,order
example3,diffusion,streamline,32,0,0.008991683640911848,
example3,diffusion,streamline,32,71,0.008428005740873195,
example3,diffusion,streamline,32,142,0.009768745052406954,
example3,diffusion,streamline,32,214,0.01329678826601619,
example3,diffusion,streamline,32,285,0.01877928289318783,
example3,diffusion,streamline,32,357,0.02578112204782018,
example3,diffusion,streamline,32,428,0.033663063621749444,
example3,diffusion,streamline,32,500,0.042336727682101984,
example3,diffusion,streamline,64,428,0.015250446831021475,1.1423149664277175
example3,diffusion,streamline,64,357,0.011497867781729558,1.1649487082707068
example3,diffusion,streamline,64,285,0.008080001812632746,1.21671445146725
example3,diffusion,streamline,64,500,0.019330163271299813,1.1310559406757874
example3,diffusion,streamline,64,142,0.003175584147684895,1.6211512378420765
example3,diffusion,streamline,64,71,0.00222593771841326,1.9207780701357808
example3,diffusion,streamline,64,0,0.002283628351197565,1.9772633987755632
example3,diffusion,streamline,64,214,0.005247426347637775,1.3413958989884611
example3,diffusion,streamline,128,500,0.00820542708743497,1.2362034910595012
example3,diffusion,streamline,128,428,0.006457886419674844,1.2397175412041122
example3,diffusion,streamline,128,285,0.0033641854718538295,1.2640983712140714
example3,diffusion,streamline,128,357,0.004844737822683246,1.2468758457370168
example3,diffusion,streamline,128,142,0.0011419856170721103,1.4754775190337708
example3,diffusion,streamline,128,71,0.0006221032878099937,1.8391871907193784
example3,diffusion,streamline,128,0,0.0005721403004474323,1.99688700489536
example3,diffusion,streamline,128,214,0.0021129939843877814,1.3123213521515873
example3,diffusion,streamline,256,428,0.0021424582218738056,1.591794995343605
example3,diffusion,streamline,256,0,0.00013890453617382292,2.0422752547250567
example3,diffusion,streamline,256,71,0.00016971611225489195,1.8740305950925424
example3,diffusion,streamline,256,142,0.0003594374294101992,1.6677319261555767
example3,diffusion,streamline,256,214,0.0006910693625979106,1.6123862337578192
example3,diffusion,streamline,256,285,0.0011108847899284333,1.598548043101295
example3,diffusion,streamline,256,357,0.00160507879890262,1.5937744690161921
example3,diffusion,streamline,256,500,0.002724061821223013,1.590818982117971
