example,regime,stabilization,nx,time_idx,l2_error,order
example3,transition,streamline,32,0,0.008991683640911848,
example3,transition,streamline,32,71,1.3356366522013023,
example3,transition,streamline,32,142,1.4918767523074385,
example3,transition,streamline,32,214,1.5871839895138637,
example3,transition,streamline,32,285,1.6305281034034043,
example3,transition,streamline,32,357,1.3672743299066568,
example3,transition,streamline,32,428,1.7519914898620155,
example3,transition,streamline,32,500,1.522417448860108,
example3,transition,streamline,64,428,1.0695599265572646,0.7119784494208855
example3,transition,streamline,64,357,0.8242189076627775,0.7302032696272578
example3,transition,streamline,64,285,1.0355248347631292,0.6549771534475921
example3,transition,streamline,64,500,0.9092757367842947,0.7435742405247732
example3,transition,streamline,64,142,0.8940419848267854,0.7387138677844372
example3,transition,streamline,64,71,0.7715645438601417,0.7916688360817837
example3,transition,streamline,64,0,0.002283628351197565,1.9772633987755632
example3,transition,streamline,64,214,0.9794369514645205,0.6964448468306139
example3,transition,streamline,128,500,0.5014631438197753,0.858574185757311
example3,transition,streamline,128,428,0.5853502894551366,0.8696451817816715
example3,transition,streamline,128,285,0.5659350283122039,0.8716538135056202
example3,transition,streamline,128,357,0.44775239492579827,0.8803264106843456
example3,transition,streamline,128,142,0.46435069678121105,0.9451277831966565
example3,transition,streamline,128,71,0.3795609942012456,1.0234551073225466
example3,transition,streamline,128,0,0.0005721403004474323,1.99688700489536
example3,transition,streamline,128,214,0.5255792139524944,0.8980444061173996
example3,transition,streamline,256,428,0.24493894220394902,1.2568780684208043
example3,transition,streamline,256,0,0.00013890453617382292,2.0422752547250567
example3,transition,streamline,256,71,0.13727243022140084,1.4672898367332727
example3,transition,streamline,256,142,0.17631108956692992,1.3970915800025787
example3,transition,streamline,256,214,0.20518464317602378,1.3569854618486343
example3,transition,streamline,256,285,0.22423482192367725,1.3356261003321737
example3,transition,streamline,256,357,0.1802708017274533,1.312535404989307
example3,transition,streamline,256,500,0.216135349977497,1.214208619345161
