x,t_0.00,t_0.28,t_0.57,t_0.86,t_1.14,t_1.43,t_1.71,t_2.00
0.0,3.7266531720786836e-06,-0.0015062050287561358,-0.0031118144969650065,-0.0048365138930325765,-0.006638017984086653,-0.00857314173496785,-0.01059444084474721,-0.012765662067276005
0.0078125,5.490854006436889e-06,-0.001512421190709927,-0.003115521392951003,-0.004837525407047865,-0.006636214084785129,-0.008568313599859715,-0.01058645379789461,-0.012754281808510083
0.015625,8.04100058818522e-06,-0.0015387327591545122,-0.0031393276197772984,-0.004858640464280394,-0.006654518128664287,-0.008583598134246136,-0.010598584357323677,-0.01276302445898022
0.0234375,1.1703872122021591e-05,-0.0015926896342864962,-0.0031907830768022364,-0.004907408957505357,-0.0067004800016230055,-0.008626545216639636,-0.010638382393831676,-0.01279943988119614
0.03125,1.6931612436130036e-05,-0.0016844111902780414,-0.0032800071449880794,-0.0049939502611121645,-0.006784219071185123,-0.008707274207189255,-0.010715967259864428,-0.012873647419329087
0.0390625,2.434536817263553e-05,-0.0018273514490933698,-0.0034204538699155506,-0.005131718414118964,-0.006919189369513944,-0.008839239130695028,-0.010844792972530786,-0.012999101082226279
0.046875,3.4792341012638946e-05,-0.0020392515943607912,-0.0036298644943789267,-0.005338454652767754,-0.007123132126007336,-0.009040181209203054,-0.01104260074619769,-0.013193542076005932
0.0546875,4.941971458012689e-05,-0.0023433114755212017,-0.0039314389992474025,-0.005637358951385767,-0.007419247308159099,-0.009333300402866855,-0.011332590533351516,-0.013480170344918585
0.0625,6.976957719599731e-05,-0.0027696121630579416,-0.004355258728222673,-0.006058512647143133,-0.007837616246316617,-0.009748678034705006,-0.01174484364935565,-0.013889067196104665
0.0703125,9.789966964829646e-05,-0.003356819954238999,-0.0049399905210152535,-0.006640582573229364,-0.008416905766857295,-0.010324980923777571,-0.012318026905626956,-0.0144588994327709
0.078125,0.00013653551674503938,-0.004154197702618076,-0.0057348982692731875,-0.007432832614782457,-0.009206379748117688,-0.011111472941115185,-0.013101404165564809,-0.015238930910119373
0.0859375,0.0001892602141613792,-0.005223941050754562,-0.006802179539884179,-0.008497460332191797,-0.010268235743696378,-0.012170351633021914,-0.014157172967853925,-0.01629135915865036
0.09375,0.0002607487846688273,-0.00664384410421686,-0.00821963190390314,-0.009912263290027265,-0.011680271311383031,-0.01357941455000434,-0.015563130855393466,-0.017693981713091313
0.1015625,0.00035705452015902126,-0.008510280292511786,-0.0100836348662426,-0.011773620986732757,-0.01353886594285194,-0.015435041176465051,-0.01741565730499045,-0.01954317804209036
0.109375,0.00048595499985097386,-0.010941458670468548,-0.012512407866371948,-0.014199752855331264,-0.015962239064367063,-0.017855450931407616,-0.019832971728064825,-0.021957167548921266
0.1171875,0.0006573654143868986,-0.014080882932360622,-0.01564947192788883,-0.01733417991300743,-0.0190939116863646,-0.02098416481801928,-0.022958595120231955,-0.02507947122106596
0.125,0.0008838263069350518,-0.01810089944117204,-0.01966720167902394,-0.021349276781633182,-0.023106258423978523,-0.024993557444196308,-0.026964902081828165,-0.029082463650740055
0.1328125,0.001181071728978333,-0.023206171561339573,-0.024770305594546328,-0.026449751929710878,-0.028203987738983822,-0.03008833726448733,-0.0320566010598539,-0.03417085327683599
0.140625,0.0015686819551156465,-0.02963686108414382,-0.031199015983961496,-0.03287583766063998,-0.0346273319280631,-0.036508736568359845,-0.038473924336240285,-0.040584872373189515
0.1484375,0.002070822163112443,-0.03767123490121171,-0.03923170782410511,-0.04090590894543275,-0.04265466595552222,-0.044533130312915996,-0.04649524686056483,-0.0486028958812954
0.15625,0.0027170647293235893,-0.04762734862273043,-0.04918659931763456,-0.05085818398141953,-0.052604208011995626,-0.054479736681597654,-0.05643878680875663,-0.058543141969012724
0.1640625,0.0035432879080341015,-0.059863391959636206,-0.061422120461378266,-0.0630910927609677,-0.06483438808316534,-0.06670698565290548,-0.0686629741518152,-0.07076404059928355
0.171875,0.004592637591638877,-0.07477621798306106,-0.07633547352272226,-0.0780018375484989,-0.07974240842677795,-0.08161207947741603,-0.08356501113282772,-0.08566279400715014
0.1796875,0.00591653158429696,-0.09279752561994377,-0.0943588569324395,-0.09602261677437962,-0.09776046746653552,-0.09962721657167252,-0.10157709616085975,-0.10367160059364573
0.1875,0.007575677444259954,-0.11438712881380605,-0.11595278858674127,-0.1176139483387364,-0.1193490830959103,-0.12121291482199946,-0.12315974711476992,-0.1252509782296093
0.1953125,0.009641065640850443,-0.1400227344126533,-0.1415959536544499,-0.1432545174215196,-0.14498694048820904,-0.14684785939456724,-0.14879164915327406,-0.15087961206574935
0.203125,0.01219488983165122,-0.17018567227079603,-0.17177102394218216,-0.1734269958523692,-0.17515671146643844,-0.17701472210525712,-0.1789554740848111,-0.18104017390251018
0.2109375,0.015331335926454094,-0.20534208345592103,-0.20694595887329803,-0.20859934309705047,-0.21032635548974113,-0.21218146240609734,-0.214119181353978,-0.21620062317650657
0.21875,0.01915717183712917,-0.24591918329914478,-0.24755040964695438,-0.24920121042833396,-0.2509255238242751,-0.252777731556143,-0.2547124222124104,-0.25679061113140433
0.2265625,0.023792061120580677,-0.2922763812345986,-0.2939470140743606,-0.2955952357807054,-0.2973168543979246,-0.29916616747618613,-0.30109783457349265,-0.30317277567263085
0.234375,0.029368516926505744,-0.34467126241820883,-0.3463975933927185,-0.3480432405927682,-0.3497621686427024,-0.35160859159115865,-0.3535372398547603,-0.35560893820977657
0.2421875,0.036031408671176046,-0.4032207170790203,-0.4050245440852274,-0.40666762167063303,-0.40838386335813875,-0.4102274006935212,-0.41215303484128946,-0.4142214955199851
0.25,0.04393693362340748,-0.46785783825501354,-0.469768053149605,-0.4714085665218189,-0.4731221260451843,-0.4749627822771654,-0.4768854070195987,-0.478950635081855
0.2578125,0.05325097004172592,-0.538285587802264,-0.5403401450877421,-0.5419781004423383,-0.5436889819932965,-0.5455267616245013,-0.547446381664736,-0.549508382162527
0.265625,0.06414673848332605,-0.6139286396486989,-0.6161769783466067,-0.6178123831012032,-0.6195205908649466,-0.6213554983909632,-0.6232721184247857,-0.6253308964021895
0.2734375,0.07680171408115755,-0.6938852278784493,-0.696391227593363,-0.6980240910249319,-0.6997296291801286,-0.7015616690895191,-0.7034752938053773,-0.7055308542985893
0.28125,0.09139375535604743,-0.776881229779902,-0.7797267903152306,-0.7813571244995121,-0.7830599972183288,-0.7848891739926401,-0.786799808071655,-0.7888521561090002
0.2890625,0.1080964445440175,-0.8612290704481876,-0.8645184116149502,-0.866146232797275,-0.8678464442454061,-0.8696727623591822,-0.8715804104751586,-0.8736295510771039
0.296875,0.12707367009073414,-0.9447943128904536,-0.9486590965400482,-0.9502844271160215,-0.9519819814527312,-0.9538054453735229,-0.9557101121929618,-0.9577560503721273
0.3046875,0.14847352301779534,-1.0249729618308454,-1.029578340644871,-1.0312012119947362,-1.03289611337292,-1.034716727561296,-1.036618417743405,-1.038661158504578
0.3125,0.17242162389375304,-1.0986825280224441,-1.1042342240240017,-1.1058546805305265,-1.10754693309681,-1.1093647020063682,-1.111263420203074,-1.1133029685432185
0.3203125,0.1990140442131386,-1.162369744631876,-1.1691222533845507,-1.1707403580763964,-1.1724299659712785,-1.1742448940486567,-1.1761406449046146,-1.1781770058128875
0.328125,0.2283100326804731,-1.2120374772726543,-1.2203034797932981,-1.221919322200474,-1.2236062895585584,-1.2254183812434443,-1.2273111693960532,-1.2293443478538129
0.3359375,0.2603248003968405,-1.2432928138709853,-1.2534538557733035,-1.255067562766257,-1.2567518937166084,-1.258561153441752,-1.260450983521162,-1.2624809845019818
0.34375,0.29502265617444323,-1.2514175619073709,-1.2639360265299895,-1.2655477771480677,-1.2672294758147638,-1.2690359080059874,-1.270922784635111,-1.2729496131047928
0.3515625,0.33231081099446835,-1.231461435570045,-1.246893793159647,-1.2485038387285476,-1.2501829092315409,-1.251986518307751,-1.2538704461022787,-1.2558941070188623
0.359375,0.37203418593745313,-1.178357116577829,-1.197368373449203,-1.1989770646526032,-1.200653511109048,-1.2024543014822437,-1.204335285050651,-1.2063557833644287
