example,regime,stabilization,nx,time_idx,l2_error,order
example3,mixed,bubble,32,0,0.008991683640911848,
example3,mixed,bubble,32,71,0.0016576184746564535,
example3,mixed,bubble,32,142,0.001196668612950384,
example3,mixed,bubble,32,214,0.0011518739733597785,
example3,mixed,bubble,32,285,0.001131894045579712,
example3,mixed,bubble,32,357,0.0011106301274762477,
example3,mixed,bubble,32,428,0.0010910545040267025,
example3,mixed,bubble,32,500,0.0010745513275246565,
example3,mixed,bubble,64,428,0.00027076761334996277,2.0105960809526553
example3,mixed,bubble,64,357,0.00027563650679689856,2.010539552617486
example3,mixed,bubble,64,285,0.00028082315531836855,2.0110051132766933
example3,mixed,bubble,64,500,0.000266633595779104,2.0108039205864823
example3,mixed,bubble,64,142,0.00029571986055206126,2.016720646500719
example3,mixed,bubble,64,71,0.00041488919261182275,1.998314005238282
example3,mixed,bubble,64,0,0.002283628351197565,1.9772633987755632
example3,mixed,bubble,64,214,0.000285397409891428,2.012938733127997
example3,mixed,bubble,128,500,6.355014319943727e-05,2.0688912899486946
example3,mixed,bubble,128,428,6.454126935588786e-05,2.0687613305464683
example3,mixed,bubble,128,285,6.694659683585666e-05,2.0685792736499686
example3,mixed,bubble,128,357,6.57073110098497e-05,2.0686411711276618
example3,mixed,bubble,128,142,7.06067542263034e-05,2.066353035046253
example3,mixed,bubble,128,71,0.00010043185745052573,2.046509105709214
example3,mixed,bubble,128,0,0.0005721403004474323,1.99688700489536
example3,mixed,bubble,128,214,6.803852398886181e-05,2.068548492794005
example3,mixed,bubble,256,428,1.291816115100982e-05,2.3208212293644843
example3,mixed,bubble,256,0,0.00013890453617382292,2.0422752547250567
example3,mixed,bubble,256,71,2.1548826298971284e-05,2.2205357742146776
example3,mixed,bubble,256,142,1.4461218766565048e-05,2.287617052720806
example3,mixed,bubble,256,214,1.3701976973198296e-05,2.3119677781509615
example3,mixed,bubble,256,285,1.34262948909106e-05,2.317949484662167
example3,mixed,bubble,256,357,1.3159226954233753e-05,2.319979163151087
example3,mixed,bubble,256,500,1.2716364115518117e-05,2.321209144342461
