epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53043,1.38945,4.19708,1.06471,0.01664,0.25442,0.07429,0.05155,1.35118,3.97474,0.9338,6.666e-05,6.666e-05,6.666e-05
2,6.08647,1.40951,3.5166,0.97079,0.01704,0.26717,0.08152,0.0503,1.44001,3.83054,0.94924,0.000143286,0.000143286,0.000143286
3,8.64665,1.37017,2.10648,0.93984,0.04206,0.3413,0.10948,0.06508,1.38659,3.40688,0.9243,0.00021868,0.00021868,0.00021868
4,11.1286,1.35749,1.86423,0.93602,0.04218,0.36474,0.14727,0.09641,1.4049,3.20045,0.93082,0.000292843,0.000292843,0.000292843
5,13.6587,1.26886,1.62284,0.93084,0.04433,0.42011,0.19251,0.13077,1.26387,2.98797,0.89902,0.000365773,0.000365773,0.000365773
6,16.1795,1.30495,1.49307,0.9393,0.04601,0.53139,0.22411,0.1448,1.25875,2.87833,0.9043,0.000437472,0.000437472,0.000437472
7,18.6969,1.29971,1.46211,0.93051,0.86717,0.0618,0.23757,0.16274,1.23011,2.78432,0.91113,0.000507939,0.000507939,0.000507939
8,21.3861,1.28949,1.37508,0.93145,0.8328,0.11745,0.2939,0.18198,1.25448,2.79834,0.91083,0.000577173,0.000577173,0.000577173
9,23.8815,1.2594,1.38341,0.93358,0.77552,0.09798,0.29231,0.1812,1.22104,2.72374,0.9022,0.000645176,0.000645176,0.000645176
10,26.3427,1.23447,1.31397,0.92634,0.76392,0.10929,0.28713,0.18603,1.20794,2.62122,0.89852,0.000711947,0.000711947,0.000711947
11,28.8138,1.18501,1.20625,0.91284,0.54306,0.24227,0.39073,0.24409,1.22387,2.13677,0.89844,0.000777487,0.000777487,0.000777487
12,31.2573,1.18585,1.16368,0.91083,0.50137,0.29673,0.40937,0.25454,1.25591,1.77023,0.91654,0.000841794,0.000841794,0.000841794
13,33.8027,1.17607,1.22043,0.92229,0.46769,0.29761,0.40013,0.24946,1.23123,1.77434,0.91449,0.00090487,0.00090487,0.00090487
14,36.5714,1.19177,1.11974,0.9141,0.47392,0.42299,0.44095,0.27264,1.23945,1.80383,0.90988,0.000966713,0.000966713,0.000966713
15,39.1867,1.17626,1.14498,0.90958,0.47951,0.53348,0.41103,0.25496,1.20374,1.59709,0.90647,0.000987812,0.000987812,0.000987812
16,41.8138,1.19641,1.13242,0.92709,0.43456,0.43773,0.40882,0.25525,1.22163,1.72198,0.90795,0.000979013,0.000979013,0.000979013
17,44.6825,1.19642,1.1548,0.92309,0.40865,0.51457,0.41287,0.23955,1.23539,1.65531,0.91585,0.000970214,0.000970214,0.000970214
18,47.4106,1.16458,1.11199,0.91321,0.49168,0.45503,0.45458,0.2775,1.18102,1.33798,0.90806,0.000961415,0.000961415,0.000961415
19,50.2069,1.14555,1.0545,0.914,0.61088,0.41077,0.48462,0.30405,1.16578,1.2391,0.90456,0.000952616,0.000952616,0.000952616
20,53.1739,1.12686,0.96876,0.91734,0.50841,0.47854,0.48691,0.30334,1.19452,1.21349,0.91236,0.000943817,0.000943817,0.000943817
21,55.9091,1.15064,1.01448,0.90797,0.61284,0.41669,0.48798,0.30517,1.16725,1.15797,0.90517,0.000935018,0.000935018,0.000935018
22,58.539,1.16655,1.01059,0.91143,0.54353,0.51666,0.50647,0.29366,1.17747,1.11372,0.91591,0.000926218,0.000926218,0.000926218
23,61.2046,1.09338,0.9662,0.90331,0.57689,0.54877,0.51904,0.32038,1.15707,1.23675,0.90606,0.000917419,0.000917419,0.000917419
24,63.9125,1.10734,0.9497,0.89842,0.74016,0.48305,0.54985,0.32708,1.16597,1.04241,0.91036,0.00090862,0.00090862,0.00090862
25,66.6493,1.13301,1.01615,0.89584,0.61502,0.47687,0.5559,0.34824,1.13836,0.96823,0.90478,0.000899821,0.000899821,0.000899821
26,69.3162,1.09828,0.96513,0.89655,0.6185,0.53539,0.58862,0.37476,1.12815,0.93633,0.90649,0.000891022,0.000891022,0.000891022
27,71.9209,1.05914,0.91459,0.89259,0.67265,0.48626,0.56206,0.36142,1.13214,1.00018,0.90113,0.000882223,0.000882223,0.000882223
28,74.5791,1.06803,0.92815,0.88249,0.65068,0.49045,0.57842,0.36087,1.12159,0.9487,0.90352,0.000873424,0.000873424,0.000873424
29,77.1289,1.04527,0.9037,0.89987,0.57799,0.50711,0.58724,0.35909,1.13276,0.96727,0.90954,0.000864625,0.000864625,0.000864625
30,79.7571,1.08405,0.93115,0.89482,0.66019,0.48952,0.58564,0.36975,1.11975,0.97094,0.90219,0.000855826,0.000855826,0.000855826
31,82.2672,1.07711,0.89011,0.89124,0.75296,0.52049,0.62298,0.3934,1.14202,0.908,0.90346,0.000847026,0.000847026,0.000847026
32,84.8644,1.07807,0.88219,0.8876,0.80309,0.50473,0.60576,0.39072,1.11206,0.89613,0.90047,0.000838227,0.000838227,0.000838227
33,87.323,1.04669,0.90241,0.89149,0.79593,0.48179,0.60083,0.38192,1.118,0.91972,0.90085,0.000829428,0.000829428,0.000829428
34,89.8169,1.03364,0.84712,0.8831,0.78508,0.51661,0.60732,0.39057,1.11463,0.87018,0.90257,0.000820629,0.000820629,0.000820629
35,92.2979,1.04931,0.91338,0.89355,0.66077,0.50984,0.56401,0.36851,1.11099,0.8847,0.90295,0.00081183,0.00081183,0.00081183
36,94.8023,1.04818,0.90314,0.8862,0.63024,0.52426,0.57569,0.373,1.11264,1.01261,0.91047,0.000803031,0.000803031,0.000803031
37,97.2839,1.0337,0.84406,0.89454,0.57999,0.71198,0.63946,0.40102,1.08812,0.87935,0.90677,0.000794232,0.000794232,0.000794232
38,99.7444,1.0209,0.87968,0.89046,0.77839,0.52493,0.66265,0.4164,1.09967,0.8615,0.90992,0.000785433,0.000785433,0.000785433
39,102.211,1.01214,0.8502,0.88086,0.66143,0.52784,0.60801,0.38667,1.09124,0.89847,0.91429,0.000776633,0.000776633,0.000776633
40,104.737,1.03649,0.8888,0.89026,0.68108,0.60101,0.65138,0.40846,1.09392,0.89083,0.90987,0.000767834,0.000767834,0.000767834
41,107.217,1.04577,0.84538,0.88626,0.67401,0.60552,0.65823,0.40547,1.14867,0.85807,0.91073,0.000759035,0.000759035,0.000759035
42,110.057,1.05199,0.84634,0.89156,0.77058,0.58462,0.68242,0.42876,1.1332,0.8273,0.91277,0.000750236,0.000750236,0.000750236
43,112.585,1.03712,0.80861,0.88626,0.63421,0.67809,0.69263,0.42733,1.1472,0.82529,0.91554,0.000741437,0.000741437,0.000741437
44,114.993,1.00108,0.78995,0.88838,0.77218,0.5395,0.67198,0.43046,1.11182,0.82544,0.91262,0.000732638,0.000732638,0.000732638
45,117.422,1.0073,0.82343,0.87798,0.73225,0.53481,0.65387,0.42406,1.11146,0.84319,0.90878,0.000723839,0.000723839,0.000723839
46,119.866,1.00677,0.79657,0.89145,0.70199,0.63736,0.68128,0.44746,1.08391,0.79652,0.90151,0.00071504,0.00071504,0.00071504
47,122.506,1.0088,0.76062,0.88447,0.77606,0.61746,0.69817,0.44523,1.07917,0.78604,0.90244,0.00070624,0.00070624,0.00070624
48,125.282,1.02201,0.7978,0.89368,0.67214,0.63265,0.65979,0.41234,1.12022,0.81856,0.9181,0.000697441,0.000697441,0.000697441
49,127.744,1.0283,0.79627,0.88468,0.5896,0.61563,0.64856,0.4159,1.10087,0.86193,0.90754,0.000688642,0.000688642,0.000688642
50,130.223,1.01705,0.80035,0.87741,0.68843,0.60057,0.66224,0.41996,1.09543,0.89815,0.90924,0.000679843,0.000679843,0.000679843
51,132.782,0.9786,0.80113,0.87942,0.80512,0.57086,0.6883,0.43297,1.11233,0.79549,0.91393,0.000671044,0.000671044,0.000671044
52,135.354,1.01,0.83098,0.89517,0.75674,0.61521,0.68211,0.4296,1.12296,0.79979,0.91255,0.000662245,0.000662245,0.000662245
53,137.803,0.96118,0.74024,0.8674,0.71461,0.61937,0.66795,0.42373,1.0968,0.80429,0.91066,0.000653446,0.000653446,0.000653446
54,140.345,0.98878,0.77201,0.87848,0.6643,0.65483,0.68018,0.43309,1.07209,0.80024,0.90828,0.000644647,0.000644647,0.000644647
55,142.793,1.02837,0.81354,0.89713,0.63784,0.65735,0.6732,0.43872,1.1031,0.80121,0.90969,0.000635848,0.000635848,0.000635848
56,145.405,0.98722,0.7627,0.87968,0.62063,0.63073,0.6648,0.4222,1.08123,0.77514,0.9028,0.000627048,0.000627048,0.000627048
57,148.298,0.99995,0.82703,0.8881,0.62662,0.65652,0.68462,0.43151,1.06382,0.76789,0.90074,0.000618249,0.000618249,0.000618249
58,150.928,0.99526,0.75263,0.88007,0.72953,0.66261,0.69598,0.44598,1.08658,0.79741,0.90532,0.00060945,0.00060945,0.00060945
59,153.831,0.99085,0.76673,0.87927,0.71743,0.62088,0.66576,0.41941,1.08264,0.79442,0.91229,0.000600651,0.000600651,0.000600651
60,156.539,1.0012,0.75191,0.87973,0.82743,0.54157,0.72415,0.4711,1.05547,0.77799,0.90075,0.000591852,0.000591852,0.000591852
61,159.267,0.96315,0.75491,0.87933,0.74815,0.63752,0.72719,0.46368,1.06636,0.78014,0.90244,0.000583053,0.000583053,0.000583053
62,161.904,0.96971,0.72012,0.86976,0.80449,0.60536,0.73173,0.46301,1.07089,0.76607,0.90251,0.000574254,0.000574254,0.000574254
63,164.615,0.96975,0.73493,0.88163,0.77302,0.65122,0.73526,0.47787,1.08687,0.7712,0.90191,0.000565455,0.000565455,0.000565455
64,167.289,0.97546,0.73016,0.8775,0.79454,0.61067,0.72972,0.4834,1.07875,0.79098,0.9091,0.000556655,0.000556655,0.000556655
65,169.859,0.97745,0.72803,0.88001,0.77568,0.58091,0.70843,0.4691,1.06673,0.79226,0.90962,0.000547856,0.000547856,0.000547856
66,172.436,0.97514,0.72311,0.88208,0.82871,0.61357,0.7307,0.47833,1.07019,0.76055,0.90269,0.000539057,0.000539057,0.000539057
67,174.964,0.93832,0.72385,0.86408,0.77298,0.63857,0.73145,0.47009,1.07469,0.76884,0.90593,0.000530258,0.000530258,0.000530258
68,177.486,0.96918,0.71312,0.88065,0.80393,0.70185,0.75133,0.47529,1.08706,0.74969,0.90882,0.000521459,0.000521459,0.000521459
69,180.056,0.93793,0.69991,0.86982,0.80446,0.71576,0.7553,0.46495,1.1119,0.76824,0.90939,0.00051266,0.00051266,0.00051266
70,182.679,0.98867,0.70866,0.86942,0.83404,0.65575,0.74934,0.45578,1.08858,0.74236,0.90643,0.000503861,0.000503861,0.000503861
71,185.344,0.96145,0.68169,0.87257,0.85417,0.6546,0.74693,0.46981,1.07085,0.73886,0.90133,0.000495062,0.000495062,0.000495062
72,188.013,0.94171,0.72926,0.87329,0.80292,0.69969,0.74048,0.47731,1.06674,0.74483,0.89672,0.000486262,0.000486262,0.000486262
73,190.67,0.99718,0.69606,0.88105,0.80752,0.64259,0.72994,0.4762,1.06013,0.75033,0.89599,0.000477463,0.000477463,0.000477463
74,193.288,0.94199,0.69818,0.86945,0.69348,0.70126,0.71448,0.45924,1.05211,0.7655,0.89504,0.000468664,0.000468664,0.000468664
75,195.735,0.94926,0.71162,0.86679,0.70488,0.68384,0.7092,0.46084,1.06127,0.73848,0.89566,0.000459865,0.000459865,0.000459865
76,198.294,0.94782,0.71724,0.8703,0.78243,0.67799,0.72561,0.47342,1.05401,0.7144,0.89822,0.000451066,0.000451066,0.000451066
77,200.825,0.92145,0.66882,0.8579,0.77557,0.68202,0.72349,0.46921,1.06108,0.70825,0.89938,0.000442267,0.000442267,0.000442267
78,203.298,0.92022,0.68938,0.86204,0.74612,0.70288,0.73378,0.47969,1.04744,0.70494,0.89703,0.000433468,0.000433468,0.000433468
79,205.827,0.90292,0.64795,0.85843,0.72478,0.71019,0.74717,0.47732,1.04034,0.715,0.89564,0.000424669,0.000424669,0.000424669
80,208.275,0.92593,0.65889,0.87407,0.79485,0.63752,0.73516,0.47136,1.07932,0.73602,0.90311,0.00041587,0.00041587,0.00041587
81,210.719,0.91004,0.65813,0.86202,0.71586,0.72603,0.73529,0.47901,1.09338,0.73276,0.90607,0.00040707,0.00040707,0.00040707
82,213.189,0.93493,0.65747,0.86056,0.73442,0.72595,0.73323,0.46674,1.08557,0.72729,0.89996,0.000398271,0.000398271,0.000398271
83,215.673,0.9209,0.6771,0.87673,0.76947,0.66819,0.7274,0.47791,1.05705,0.71835,0.89545,0.000389472,0.000389472,0.000389472
84,218.158,0.91914,0.66477,0.87309,0.73557,0.70469,0.72932,0.48734,1.07577,0.72919,0.89797,0.000380673,0.000380673,0.000380673
85,220.661,0.91437,0.65208,0.86697,0.73186,0.68995,0.73018,0.48699,1.06261,0.72631,0.89385,0.000371874,0.000371874,0.000371874
86,223.115,0.87378,0.63812,0.8709,0.78878,0.67588,0.73535,0.47816,1.03696,0.7257,0.89527,0.000363075,0.000363075,0.000363075
87,225.558,0.89366,0.65794,0.87025,0.6967,0.69564,0.73075,0.46257,1.07707,0.7437,0.90238,0.000354276,0.000354276,0.000354276
88,228.018,0.89234,0.65001,0.86028,0.79777,0.67134,0.73535,0.48052,1.02701,0.72189,0.89921,0.000345477,0.000345477,0.000345477
89,230.517,0.92516,0.65589,0.86458,0.8173,0.6576,0.73118,0.48016,1.02921,0.72589,0.90217,0.000336677,0.000336677,0.000336677
90,233.071,0.87846,0.63625,0.86189,0.79154,0.66248,0.72674,0.48179,1.04035,0.72313,0.90447,0.000327878,0.000327878,0.000327878
91,235.564,0.89323,0.63204,0.85953,0.82579,0.66555,0.74828,0.49879,1.0448,0.71561,0.89997,0.000319079,0.000319079,0.000319079
92,238.059,0.92733,0.67453,0.87104,0.89312,0.64813,0.75615,0.50038,1.04704,0.7268,0.90057,0.00031028,0.00031028,0.00031028
93,240.489,0.88659,0.68138,0.86832,0.90115,0.63961,0.75647,0.49961,1.04669,0.72211,0.89999,0.000301481,0.000301481,0.000301481
94,242.945,0.90794,0.64612,0.8711,0.76796,0.73394,0.76918,0.50162,1.06042,0.73467,0.8989,0.000292682,0.000292682,0.000292682
95,245.379,0.90555,0.66158,0.86505,0.85612,0.71776,0.78071,0.50878,1.0296,0.70342,0.89266,0.000283883,0.000283883,0.000283883
96,247.981,0.92568,0.64259,0.86326,0.83947,0.72553,0.78243,0.51438,1.02384,0.70421,0.89803,0.000275084,0.000275084,0.000275084
97,250.46,0.90714,0.63719,0.85346,0.83337,0.6999,0.78437,0.51368,1.01925,0.71732,0.89297,0.000266284,0.000266284,0.000266284
98,252.932,0.86049,0.61693,0.85391,0.84517,0.68981,0.77493,0.50565,1.04338,0.74296,0.89212,0.000257485,0.000257485,0.000257485
99,255.428,0.87677,0.62134,0.8619,0.78834,0.686,0.74469,0.48911,1.03644,0.71675,0.891,0.000248686,0.000248686,0.000248686
100,257.881,0.89934,0.63188,0.86653,0.80706,0.71143,0.76144,0.49631,1.04049,0.70502,0.8921,0.000239887,0.000239887,0.000239887
101,260.303,0.90755,0.65457,0.86342,0.81757,0.701,0.76085,0.49134,1.04274,0.70627,0.89251,0.000231088,0.000231088,0.000231088
102,262.784,0.88135,0.63576,0.86062,0.83152,0.69695,0.76845,0.50473,1.04033,0.70594,0.89228,0.000222289,0.000222289,0.000222289
103,265.227,0.8695,0.60524,0.8503,0.81406,0.712,0.76646,0.50204,1.06085,0.71075,0.89493,0.00021349,0.00021349,0.00021349
104,267.703,0.89462,0.63203,0.85927,0.79444,0.71512,0.75104,0.48973,1.10105,0.73766,0.89891,0.000204691,0.000204691,0.000204691
105,270.129,0.89519,0.61843,0.86014,0.79859,0.66917,0.74753,0.48844,1.12445,0.7465,0.90413,0.000195892,0.000195892,0.000195892
106,272.586,0.85967,0.61673,0.85206,0.75864,0.7123,0.75514,0.48971,1.07733,0.73153,0.89705,0.000187092,0.000187092,0.000187092
107,275.055,0.86951,0.59696,0.85509,0.85628,0.61623,0.75909,0.50686,1.01963,0.70626,0.88966,0.000178293,0.000178293,0.000178293
108,277.504,0.86328,0.61524,0.85727,0.78237,0.69945,0.76998,0.50325,1.02232,0.71702,0.88929,0.000169494,0.000169494,0.000169494
109,280.001,0.87333,0.60199,0.8523,0.75207,0.71447,0.76892,0.49813,1.02718,0.72128,0.88855,0.000160695,0.000160695,0.000160695
110,282.523,0.85,0.60843,0.86513,0.75653,0.71454,0.77516,0.50669,1.03634,0.7205,0.8884,0.000151896,0.000151896,0.000151896
111,284.978,0.86165,0.59736,0.84989,0.81407,0.69729,0.77018,0.50973,1.02321,0.71809,0.88838,0.000143097,0.000143097,0.000143097
112,287.439,0.88548,0.63285,0.86993,0.78864,0.67168,0.7577,0.5072,1.02643,0.72424,0.8928,0.000134298,0.000134298,0.000134298
113,289.853,0.85449,0.60731,0.85394,0.76533,0.71157,0.75302,0.49137,1.0424,0.72786,0.89511,0.000125499,0.000125499,0.000125499
114,292.338,0.87782,0.60817,0.84847,0.74624,0.72936,0.75521,0.49838,1.06731,0.71796,0.9013,0.000116699,0.000116699,0.000116699
115,294.775,0.8474,0.60264,0.85881,0.9465,0.65848,0.77462,0.51438,1.04818,0.71086,0.89943,0.0001079,0.0001079,0.0001079
116,297.257,0.85205,0.59276,0.85607,0.90169,0.68308,0.77028,0.50995,1.02628,0.71237,0.89391,9.91012e-05,9.91012e-05,9.91012e-05
117,299.549,0.87342,0.61202,0.86207,0.89933,0.68696,0.7701,0.5156,1.01912,0.70993,0.89264,9.03021e-05,9.03021e-05,9.03021e-05
118,301.902,0.81971,0.57575,0.84091,0.89045,0.67898,0.76885,0.50902,1.02312,0.71339,0.89189,8.1503e-05,8.1503e-05,8.1503e-05
119,304.195,0.85958,0.59532,0.85362,0.87757,0.68014,0.76724,0.51329,1.0388,0.71218,0.89208,7.27038e-05,7.27038e-05,7.27038e-05
120,306.508,0.86206,0.59725,0.84942,0.87921,0.68148,0.7649,0.5166,1.0446,0.71621,0.89253,6.39047e-05,6.39047e-05,6.39047e-05
121,308.853,0.86033,0.58921,0.84894,0.8703,0.68202,0.76522,0.51386,1.03937,0.71184,0.89182,5.51056e-05,5.51056e-05,5.51056e-05
122,311.151,0.83673,0.60368,0.8421,0.90362,0.67583,0.77143,0.5168,1.03619,0.70817,0.89211,4.63065e-05,4.63065e-05,4.63065e-05
123,313.489,0.83755,0.59742,0.84553,0.91105,0.67281,0.7734,0.51679,1.03264,0.70778,0.89271,3.75074e-05,3.75074e-05,3.75074e-05
124,315.875,0.85202,0.57112,0.85655,0.91581,0.67067,0.77377,0.51914,1.03477,0.70798,0.89287,2.87082e-05,2.87082e-05,2.87082e-05
125,318.143,0.8255,0.56956,0.84558,0.91488,0.67197,0.77543,0.51832,1.03554,0.70732,0.89296,1.99091e-05,1.99091e-05,1.99091e-05
