*********************************************************
               r                z               ur               uz               tr               tz              err              ett              ezz              erz              srr              stt              szz              srz 
 1.605662433E+00  1.056624327E-01  6.364872046E+01  9.795474257E-03 -5.383365976E-01  1.532949001E+01 -2.465282983E+01  3.964016293E+01 -1.662080587E-01 -7.690522823E-01 -1.895178047E+01  7.105840940E+01  1.532949001E+01 -5.383365976E-01 

 1.605662433E+00  3.943375673E-01  6.351245317E+01  1.097759723E-02  1.380626091E-01  1.552250331E+01 -2.468252815E+01  3.955529622E+01 -3.832782391E-02  1.972322987E-01 -1.897937714E+01  7.095357698E+01  1.552250331E+01  1.380626091E-01 

 1.894337567E+00  1.056624327E-01  5.794248353E+01  2.049841370E-01  2.075414897E+00  1.625351030E+01 -1.496517809E+01  3.058720079E+01 -6.106675127E-02  2.964878424E+00 -4.612245575E+00  5.916108486E+01  1.625351030E+01  2.075414897E+00 

 1.894337567E+00  3.943375673E-01  5.780766092E+01  7.862448924E-02  1.347168825E+00  1.492112011E+01 -1.581434217E+01  3.051602942E+01 -2.104700040E-01  1.924526893E+00 -6.924300919E+00  5.793821930E+01  1.492112011E+01  1.347168825E+00 

 1.605662433E+00  6.056624327E-01  6.351245317E+01 -1.097759721E-02 -1.380626092E-01  1.552250331E+01 -2.468252815E+01  3.955529622E+01 -3.832782392E-02 -1.972322989E-01 -1.897937714E+01  7.095357698E+01  1.552250331E+01 -1.380626092E-01 

 1.605662433E+00  8.943375673E-01  6.364872046E+01 -9.795474249E-03  5.383365976E-01  1.532949001E+01 -2.465282983E+01  3.964016293E+01 -1.662080587E-01  7.690522822E-01 -1.895178047E+01  7.105840940E+01  1.532949001E+01  5.383365976E-01 

 1.894337567E+00  6.056624327E-01  5.780766092E+01 -7.862448922E-02 -1.347168825E+00  1.492112011E+01 -1.581434217E+01  3.051602942E+01 -2.104700041E-01 -1.924526893E+00 -6.924300919E+00  5.793821930E+01  1.492112011E+01 -1.347168825E+00 

 1.894337567E+00  8.943375673E-01  5.794248353E+01 -2.049841370E-01 -2.075414897E+00  1.625351030E+01 -1.496517809E+01  3.058720079E+01 -6.106675135E-02 -2.964878424E+00 -4.612245575E+00  5.916108486E+01  1.625351030E+01 -2.075414897E+00 

 1.302831216E+00  5.283121635E-02  7.338192992E+01 -1.179221114E-02 -7.087588442E-01  1.553932360E+01 -4.089826932E+01  5.632497058E+01 -2.688623366E-01 -1.012512635E+00 -4.134184618E+01  9.477068969E+01  1.553932360E+01 -7.087588442E-01 

 1.302831216E+00  1.971687836E-01  7.327705065E+01 -4.013128224E-02 -8.138145622E-02  1.575412500E+01 -4.102138827E+01  5.624446955E+01 -9.392258533E-02 -1.162592232E-01 -4.154432696E+01  9.462787399E+01  1.575412500E+01 -8.138145622E-02 

 1.447168784E+00  5.283121635E-02  6.815140479E+01 -1.842065818E-02 -7.111263851E-01  1.562689374E+01 -3.166464322E+01  4.709292071E+01 -2.337949466E-01 -1.015894836E+00 -2.837629384E+01  8.188429566E+01  1.562689374E+01 -7.111263851E-01 

 1.447168784E+00  1.971687836E-01  6.804387182E+01 -2.489426858E-02 -3.666125559E-01  1.578816787E+01 -3.202232503E+01  4.701861495E+01  1.716875956E-02 -5.237322227E-01 -2.906712344E+01  8.159019253E+01  1.578816787E+01 -3.666125559E-01 

 1.302831216E+00  3.028312164E-01  7.326065382E+01 -3.880588133E-02  6.168002417E-02  1.595735271E+01 -4.128627000E+01  5.623188401E+01  1.079420392E-01  8.811432024E-02 -4.199454414E+01  9.453087146E+01  1.595735271E+01  6.168002417E-02 

 1.302831216E+00  4.471687836E-01  7.326111862E+01 -1.236852075E-02  3.447468911E-02  1.605172498E+01 -4.147938100E+01  5.623224077E+01  2.290702959E-01  4.924955588E-02 -4.234010684E+01  9.445616364E+01  1.605172498E+01  3.447468911E-02 

 1.447168784E+00  3.028312164E-01  6.800060296E+01 -1.979467834E-02 -8.355103034E-02  1.582004292E+01 -3.210308223E+01  4.698871597E+01  7.760306074E-02 -1.193586148E-01 -2.923291649E+01  8.149560100E+01  1.582004292E+01 -8.355103034E-02 

 1.447168784E+00  4.471687836E-01  6.798248189E+01 -5.666927765E-03  1.433789727E-02  1.582704315E+01 -3.215244237E+01  4.697619424E+01  1.069810981E-01  2.048271039E-02 -2.933614970E+01  8.144394155E+01  1.582704315E+01  1.433789727E-02 

 1.302831216E+00  5.528312164E-01  7.326111862E+01  1.236852076E-02 -3.447468929E-02  1.605172498E+01 -4.147938100E+01  5.623224077E+01  2.290702959E-01 -4.924955613E-02 -4.234010684E+01  9.445616364E+01  1.605172498E+01 -3.447468929E-02 

 1.302831216E+00  6.971687836E-01  7.326065382E+01  3.880588134E-02 -6.168002440E-02  1.595735271E+01 -4.128627000E+01  5.623188401E+01  1.079420392E-01 -8.811432057E-02 -4.199454414E+01  9.453087146E+01  1.595735271E+01 -6.168002440E-02 

 1.447168784E+00  5.528312164E-01  6.798248189E+01  5.666927783E-03 -1.433789748E-02  1.582704315E+01 -3.215244237E+01  4.697619424E+01  1.069810981E-01 -2.048271068E-02 -2.933614970E+01  8.144394155E+01  1.582704315E+01 -1.433789748E-02 

 1.447168784E+00  6.971687836E-01  6.800060296E+01  1.979467836E-02  8.355103013E-02  1.582004292E+01 -3.210308223E+01  4.698871597E+01  7.760306073E-02  1.193586145E-01 -2.923291649E+01  8.149560100E+01  1.582004292E+01  8.355103013E-02 

 1.302831216E+00  8.028312164E-01  7.327705065E+01  4.013128226E-02  8.138145595E-02  1.575412500E+01 -4.102138827E+01  5.624446955E+01 -9.392258533E-02  1.162592228E-01 -4.154432696E+01  9.462787399E+01  1.575412500E+01  8.138145595E-02 

 1.302831216E+00  9.471687836E-01  7.338192992E+01  1.179221116E-02  7.087588432E-01  1.553932360E+01 -4.089826932E+01  5.632497058E+01 -2.688623366E-01  1.012512633E+00 -4.134184618E+01  9.477068969E+01  1.553932360E+01  7.087588432E-01 

 1.447168784E+00  8.028312164E-01  6.804387182E+01  2.489426859E-02  3.666125557E-01  1.578816787E+01 -3.202232503E+01  4.701861495E+01  1.716875951E-02  5.237322224E-01 -2.906712344E+01  8.159019253E+01  1.578816787E+01  3.666125557E-01 

 1.447168784E+00  9.471687836E-01  6.815140479E+01  1.842065819E-02  7.111263857E-01  1.562689374E+01 -3.166464322E+01  4.709292071E+01 -2.337949463E-01  1.015894837E+00 -2.837629384E+01  8.188429566E+01  1.562689374E+01  7.111263857E-01 

 1.151415608E+00  5.264156082E-01  8.052126524E+01  5.765518291E-03 -4.556245568E-03  1.598150930E+01 -5.522318937E+01  6.993240727E+01  2.191144916E-01 -6.508922240E-03 -6.163771611E+01  1.135801192E+02  1.598150930E+01 -4.556245568E-03 

 1.151415608E+00  5.985843918E-01  8.051358669E+01  2.206188975E-02 -3.016249958E-02  1.604365806E+01 -5.519381208E+01  6.992573848E+01  2.347491154E-01 -4.308928512E-02 -6.155632762E+01  1.136110432E+02  1.604365806E+01 -3.016249958E-02 

 1.223584392E+00  5.264156082E-01  7.680176170E+01  7.019696862E-03 -1.984414026E-02  1.609041939E+01 -4.806237734E+01  6.276785010E+01  2.651726510E-01 -2.834877180E-02 -5.156815060E+01  1.035941678E+02  1.609041939E+01 -1.984414026E-02 

 1.223584392E+00  5.985843918E-01  7.679692135E+01  2.578845637E-02 -7.703680671E-02  1.610175725E+01 -4.801589092E+01  6.276389423E+01  2.515729712E-01 -1.100525810E-01 -5.147269220E+01  1.036190070E+02  1.610175725E+01 -7.703680671E-02 

 1.151415608E+00  6.514156082E-01  8.050211699E+01  3.486511978E-02 -7.596738390E-02  1.612526721E+01 -5.513918368E+01  6.991577709E+01  2.489159690E-01 -1.085248341E-01 -6.141807231E+01  1.136588728E+02  1.612526721E+01 -7.596738390E-02 

 1.151415608E+00  7.235843918E-01  8.047855654E+01  5.274361690E-02 -1.898667837E-01  1.624018772E+01 -5.497566790E+01  6.989531493E+01  2.345136076E-01 -2.712382624E-01 -6.105406638E+01  1.137653096E+02  1.624018772E+01 -1.898667837E-01 

 1.223584392E+00  6.514156082E-01  7.679036211E+01  3.841859737E-02 -1.215338963E-01  1.610581737E+01 -4.793955757E+01  6.275853354E+01  2.228133025E-01 -1.736198518E-01 -5.132150185E+01  1.036558257E+02  1.610581737E+01 -1.215338963E-01 

 1.223584392E+00  7.235843918E-01  7.677973369E+01  5.171229493E-02 -1.644595400E-01  1.606898794E+01 -4.775795560E+01  6.274984725E+01  1.336741675E-01 -2.349422001E-01 -5.097929374E+01  1.037316303E+02  1.606898794E+01 -1.644595400E-01 

 1.151415608E+00  2.764156082E-01  8.047855654E+01 -5.274361690E-02  1.898667835E-01  1.624018772E+01 -5.497566790E+01  6.989531493E+01  2.345136074E-01  2.712382622E-01 -6.105406638E+01  1.137653096E+02  1.624018772E+01  1.898667835E-01 

 1.151415608E+00  3.485843918E-01  8.050211699E+01 -3.486511979E-02  7.596738379E-02  1.612526721E+01 -5.513918368E+01  6.991577709E+01  2.489159689E-01  1.085248340E-01 -6.141807231E+01  1.136588728E+02  1.612526721E+01  7.596738379E-02 

 1.223584392E+00  2.764156082E-01  7.677973369E+01 -5.171229492E-02  1.644595398E-01  1.606898794E+01 -4.775795560E+01  6.274984725E+01  1.336741674E-01  2.349421997E-01 -5.097929374E+01  1.037316303E+02  1.606898794E+01  1.644595398E-01 

 1.223584392E+00  3.485843918E-01  7.679036211E+01 -3.841859736E-02  1.215338961E-01  1.610581737E+01 -4.793955757E+01  6.275853354E+01  2.228133025E-01  1.736198515E-01 -5.132150185E+01  1.036558257E+02  1.610581737E+01  1.215338961E-01 

 1.151415608E+00  4.014156082E-01  8.051358669E+01 -2.206188976E-02  3.016249949E-02  1.604365806E+01 -5.519381208E+01  6.992573848E+01  2.347491154E-01  4.308928499E-02 -6.155632762E+01  1.136110432E+02  1.604365806E+01  3.016249949E-02 

 1.151415608E+00  4.735843918E-01  8.052126524E+01 -5.765518309E-03  4.556245485E-03  1.598150930E+01 -5.522318937E+01  6.993240727E+01  2.191144916E-01  6.508922121E-03 -6.163771611E+01  1.135801192E+02  1.598150930E+01  4.556245485E-03 

 1.223584392E+00  4.014156082E-01  7.679692135E+01 -2.578845637E-02  7.703680656E-02  1.610175725E+01 -4.801589092E+01  6.276389423E+01  2.515729711E-01  1.100525808E-01 -5.147269220E+01  1.036190070E+02  1.610175725E+01  7.703680656E-02 

 1.223584392E+00  4.735843918E-01  7.680176170E+01 -7.019696864E-03  1.984414013E-02  1.609041939E+01 -4.806237734E+01  6.276785010E+01  2.651726510E-01  2.834877161E-02 -5.156815060E+01  1.035941678E+02  1.609041939E+01  1.984414013E-02 

 1.151415608E+00  2.641560818E-02  8.053993137E+01 -9.385321335E-03 -1.116894869E+00  1.556153041E+01 -5.405386165E+01  6.994861873E+01 -4.603936850E-01 -1.595564099E+00 -5.946932475E+01  1.141341478E+02  1.556153041E+01 -1.116894869E+00 

 1.151415608E+00  9.858439182E-02  8.044980175E+01 -4.522354367E-02 -2.268268784E-01  1.564583347E+01 -5.384828141E+01  6.987034151E+01 -4.805427072E-01 -3.240383977E-01 -5.906900070E+01  1.141370714E+02  1.564583347E+01 -2.268268784E-01 

 1.223584392E+00  2.641560818E-02  7.688437984E+01 -1.427721743E-02 -7.755588531E-01  1.555608933E+01 -4.684489458E+01  6.283537151E+01 -5.036373279E-01 -1.107941219E+00 -4.932167082E+01  1.042307017E+02  1.555608933E+01 -7.755588531E-01 

 1.223584392E+00  9.858439182E-02  7.681531079E+01 -3.822749157E-02 -6.023335532E-01  1.575211836E+01 -4.714704395E+01  6.277892337E+01 -2.699408288E-01 -8.604765046E-01 -4.987582601E+01  1.040205282E+02  1.575211836E+01 -6.023335532E-01 

 1.151415608E+00  1.514156082E-01  8.043730131E+01 -6.333245478E-02  1.972463174E-01  1.598763060E+01 -5.420097523E+01  6.985948492E+01 -1.852263559E-01  2.817804534E-01 -5.963441782E+01  1.140502264E+02  1.598763060E+01  1.972463174E-01 

 1.151415608E+00  2.235843918E-01  8.045757752E+01 -6.322943060E-02  2.830265962E-01  1.625144522E+01 -5.473857877E+01  6.987709473E+01  1.453075352E-01  4.043237089E-01 -6.058599561E+01  1.138759473E+02  1.625144522E+01  2.830265962E-01 

 1.223584392E+00  1.514156082E-01  7.678408593E+01 -5.027494994E-02 -1.307253105E-01  1.582024385E+01 -4.727975042E+01  6.275340420E+01 -1.743235201E-01 -1.867504435E-01 -5.012735381E+01  1.039190627E+02  1.582024385E+01 -1.307253105E-01 

 1.223584392E+00  2.235843918E-01  7.677470347E+01 -5.592526452E-02  1.355756551E-01  1.598610888E+01 -4.756472420E+01  6.274573619E+01  1.879440231E-02  1.936795073E-01 -5.063081716E+01  1.038038274E+02  1.598610888E+01  1.355756551E-01 

 1.151415608E+00  7.764156082E-01  8.045757752E+01  6.322943061E-02 -2.830265964E-01  1.625144522E+01 -5.473857877E+01  6.987709473E+01  1.453075354E-01 -4.043237092E-01 -6.058599561E+01  1.138759473E+02  1.625144522E+01 -2.830265964E-01 

 1.151415608E+00  8.485843918E-01  8.043730131E+01  6.333245479E-02 -1.972463178E-01  1.598763060E+01 -5.420097523E+01  6.985948492E+01 -1.852263557E-01 -2.817804540E-01 -5.963441782E+01  1.140502264E+02  1.598763060E+01 -1.972463178E-01 

 1.223584392E+00  7.764156082E-01  7.677470347E+01  5.592526453E-02 -1.355756554E-01  1.598610888E+01 -4.756472420E+01  6.274573619E+01  1.879440239E-02 -1.936795077E-01 -5.063081716E+01  1.038038274E+02  1.598610888E+01 -1.355756554E-01 

 1.223584392E+00  8.485843918E-01  7.678408593E+01  5.027494995E-02  1.307253101E-01  1.582024385E+01 -4.727975042E+01  6.275340420E+01 -1.743235201E-01  1.867504430E-01 -5.012735381E+01  1.039190627E+02  1.582024385E+01  1.307253101E-01 

 1.151415608E+00  9.014156082E-01  8.044980175E+01  4.522354368E-02  2.268268781E-01  1.564583347E+01 -5.384828140E+01  6.987034151E+01 -4.805427072E-01  3.240383972E-01 -5.906900070E+01  1.141370714E+02  1.564583347E+01  2.268268781E-01 

 1.151415608E+00  9.735843918E-01  8.053993137E+01  9.385321353E-03  1.116894868E+00  1.556153041E+01 -5.405386165E+01  6.994861873E+01 -4.603936852E-01  1.595564097E+00 -5.946932475E+01  1.141341478E+02  1.556153041E+01  1.116894868E+00 

