qoi,sampler,n,median,q25,q75
q,EIGF,5,0.7124302040121696,0.6795655349023384,0.7261255201764282
q,EIGF,10,0.4649702833876156,0.3553698603215978,0.7455434951578708
q,EIGF,15,0.3575829094575451,0.27955830145833205,0.6216943780749253
q,EIGF,20,0.2195352090885686,0.20613453712705626,0.2495939688149857
q,EIGF,30,0.1786479802119923,0.15681462123797907,0.2143792436556052
q,EIGF,40,0.13624763419559327,0.11750305656499158,0.14264514495366604
q,EIGF,60,0.09228237974630213,0.08896007117119299,0.09552026281401069
q,EIGF,80,0.08565267690365425,0.08012469373563881,0.08806340533116558
q,EIGF,100,0.07936743629255297,0.07582673368339615,0.08557662311502792
q,EIGF,120,0.07525104315083159,0.07384221992351983,0.07658612576452473
q,Halton,5,0.7058505598254114,0.644611653954364,0.8109220950454951
q,Halton,10,0.5328746687824994,0.43419611740180497,0.6024679554916874
q,Halton,15,0.4120926418054275,0.2880423125562045,0.4767325790968696
q,Halton,20,0.36057453411964824,0.2672557090523193,0.4733509223033436
q,Halton,30,0.1750656761497714,0.15105062316751722,0.28567084658666286
q,Halton,40,0.15720283851119332,0.12911177684169237,0.2824573877493477
q,Halton,60,0.09853670440074645,0.0821916479682269,0.10805891323179656
q,Halton,80,0.07434058245905642,0.06640986128560825,0.10597030442708619
q,Halton,100,0.08142828691226503,0.06598887181037127,0.11233873040480612
q,Halton,120,0.07935358278519822,0.056508004466125646,0.10382856314917674
q,LHS,5,0.7124974143883227,0.6763419365238142,0.7250731482827432
q,LHS,10,0.46152373638677047,0.3854466201011925,0.5630980441525593
q,LHS,15,0.35163487945390354,0.3014971459331666,0.36259470141508465
q,LHS,20,0.3078209383973359,0.26660230596536794,0.3535754812878938
q,LHS,30,0.27886462566426384,0.251578474132787,0.31937146700077845
q,LHS,40,0.23996484889322123,0.15974581007746985,0.2580072531435806
q,LHS,60,0.14250501632394436,0.08904061124151282,0.1865931863099704
q,LHS,80,0.11887438429958311,0.10771816574636127,0.14693244240098752
q,LHS,100,0.08043128231309254,0.06937193600186772,0.12883157363931447
q,LHS,120,0.0767434216641533,0.06592530310896136,0.107756918652155
q,MEPE,5,0.7124302040121696,0.6795655349023384,0.7261255201764282
q,MEPE,10,0.8772127466835313,0.5923767726838792,1.0645521377370941
q,MEPE,15,0.3451639926731273,0.275132104163277,0.7954748879386276
q,MEPE,20,0.24126795578980986,0.22531438730702838,0.26351552700531145
q,MEPE,30,0.16701605869161917,0.1615165335209673,0.1894605820718812
q,MEPE,40,0.13675099379394318,0.12433199552286076,0.14290054883329797
q,MEPE,60,0.08231735634151088,0.08032122322530746,0.08397530140419812
q,MEPE,80,0.06225162856242171,0.06097646651500923,0.06356262291349725
q,MEPE,100,0.057356433865964236,0.055677250245054925,0.059964070385597534
