problem,qoi,sampler,seed,n,n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed
AdvDiff-AMICon,q,Random,0,5,81,0.7640997934799273,0,6.36495127968782,0,0.16173772769258069,0.09259141304803879,0.5267136797136849,0.7257504252245981,0.48868577732609264,0.7965457262966534,0.1,4398880.386207236,False
AdvDiff-AMICon,q,Random,0,10,81,0.7392574376981762,0,6.158014456025833,0,0.10894556199953177,0.04204732720536322,0.47457574444898853,0.6888945815209963,0.6993963897905546,0.7560946789795593,0.1801173528334133,12397384803.072227,False
AdvDiff-AMICon,q,Random,0,15,81,0.8148635965754251,9,6.448698009369293,0,0.13489029081687687,0.06483418480606225,0.530718977621363,0.7285046174331107,0.5541164144845802,0.7995685836823881,0.12167046985882254,5.221164176980365e+16,False
AdvDiff-AMICon,q,Random,0,20,81,0.7315154419898158,0,6.09352363177519,0,0.09407368539590102,0.02787605342324209,0.4637084778610626,0.680961436397879,0.768427463667323,0.7473876736175512,0.48026560105467186,4855066452728.272,False
AdvDiff-AMICon,q,Random,0,25,81,0.7402301071588929,0,6.166116792633603,0,0.09357307356188725,0.026586818185656252,0.47500138651027063,0.6892034434840489,0.749826119263223,0.7564336697236695,0.7109709432312434,62945074670935.39,False
AdvDiff-AMICon,q,Random,0,30,81,0.6762517935175081,0,5.633177440000865,0,0.08370298998128221,0.022506377061734608,0.39292272086422253,0.6268354814975159,0.9260676157443808,0.6879818550894157,1.2805820423628653,341679707317.27356,False
AdvDiff-AMICon,q,Random,0,35,81,0.7626755367216782,0,6.353087220891605,0,0.08953257701007986,0.0205151488104511,0.4995264094133944,0.7067718227358774,0.7738106612981861,0.7757158043592393,0.12167046985882254,4.993959992433972e+18,False
AdvDiff-AMICon,q,Random,0,40,81,0.6890692033322794,0,5.739946463757911,0,0.07982979318785223,0.01747328379988146,0.40771046438701697,0.6385220938910547,0.887637912423223,0.7008084699054912,0.2666403838939712,6.174042110745151e+19,False
AdvDiff-AMICon,q,Random,0,45,81,0.6269649526264466,0,5.222618055378321,0,0.07139350021087808,0.014657042152212958,0.33728793752319386,0.5807649589319193,0.9384408212557972,0.6374172579739227,0.48026560105467186,3.4810123227949645e+18,False
AdvDiff-AMICon,q,Random,0,50,81,0.6106039539146332,0,5.086330936108915,0,0.06807990184256735,0.01282401317350216,0.3197643211172122,0.5654770739094664,0.9495203467987747,0.6206380745859408,0.7109709432312434,1.379975604766684e+19,False
AdvDiff-AMICon,q,Random,0,55,81,0.6203187090902541,0,5.167254846721837,0,0.0696541704045855,0.01351915635975115,0.3301157213207774,0.5745569783065709,0.9429165074642557,0.6306037029773502,0.5843414133735175,9.64222972779388e+18,False
AdvDiff-AMICon,q,Random,0,60,81,0.611394745349819,0,5.092918228764013,0,0.06779414993387556,0.012466699521354652,0.3205825600563432,0.5662001060193677,0.9494276117678563,0.6214316368314453,0.7109709432312434,3.473151090071036e+19,False
AdvDiff-AMICon,q,Random,0,65,81,0.6190155163575103,0,5.156399251258081,0,0.06742055965577201,0.011403476508851393,0.32852794868867696,0.5731735764048068,0.9492602065990151,0.6290853533707899,0.8650416871891565,3.160859432115827e+18,False
AdvDiff-AMICon,q,Random,0,70,81,0.6197469850729777,0,5.162492385657925,0,0.06740271731041693,0.011319440759985477,0.32930822270844784,0.5738538339232804,0.948789158782269,0.6298319684608927,0.8650416871891565,1.3476383735969603e+18,False
AdvDiff-AMICon,q,Random,0,75,81,0.6187258323176668,0,5.153986183206185,0,0.06727399316707282,0.011283124637584933,0.328226661577703,0.5729106924972713,0.9489266761738198,0.6287968257367967,0.8650416871891565,5.784386569526957e+18,False
AdvDiff-AMICon,q,Random,0,80,81,0.605017234566236,0,5.039793563936766,0,0.06579563288887545,0.011045307834918269,0.31390146365152605,0.5602690993188238,0.9510513107124424,0.6149220739352294,0.8650416871891565,5.776217821420516e+18,False
AdvDiff-AMICon,q,Random,0,85,81,0.6057048961559883,0,5.045521784979403,0,0.06587145161209701,0.011058897429091896,0.31461855925084536,0.5609086906536975,0.9507374519095001,0.6156240559481401,0.8650416871891565,2.1847151519170998e+18,False
