qoi,sampler,n,median,q25,q75
q,EIGF,5,0.9706327652695367,0.9706327652695367,0.9706327652695367
q,EIGF,10,0.48292721018229834,0.48292721018229834,0.48292721018229834
q,EIGF,15,0.5209695626115328,0.5209695626115328,0.5209695626115328
q,EIGF,20,0.6506379425076299,0.6506379425076299,0.6506379425076299
q,EIGF,25,0.6543529286750744,0.6543529286750744,0.6543529286750744
q,EIGF,30,0.4596599487679968,0.4596599487679968,0.4596599487679968
q,EIGF,35,0.4693396662561741,0.4693396662561741,0.4693396662561741
q,EIGF,40,0.3944336538622245,0.3944336538622245,0.3944336538622245
q,EIGF,45,0.48058550853040877,0.48058550853040877,0.48058550853040877
q,EIGF,50,0.4767279900003431,0.4767279900003431,0.4767279900003431
q,EIGF,55,0.4960414571558132,0.4960414571558132,0.4960414571558132
q,EIGF,60,0.49842844399175773,0.49842844399175773,0.49842844399175773
q,EIGF,65,0.49906701795521746,0.49906701795521746,0.49906701795521746
q,EIGF,70,0.511869667855539,0.511869667855539,0.511869667855539
q,EIGF,75,0.5174442522255243,0.5174442522255243,0.5174442522255243
q,EIGF,80,0.5184184501705295,0.5184184501705295,0.5184184501705295
q,EIGF,85,0.5209589709008349,0.5209589709008349,0.5209589709008349
q,EIGF,90,0.5236119107111541,0.5236119107111541,0.5236119107111541
q,EIGF,95,0.5271120140223771,0.5271120140223771,0.5271120140223771
q,EIGF,100,0.5294423770299457,0.5294423770299457,0.5294423770299457
q,EIGF,105,0.5300457203985809,0.5300457203985809,0.5300457203985809
q,EIGF,110,0.49439496214379114,0.49439496214379114,0.49439496214379114
q,EIGF,115,0.4947757102511426,0.4947757102511426,0.4947757102511426
q,EIGF,120,0.49621798400085154,0.49621798400085154,0.49621798400085154
q,Halton,5,0.9789702517299923,0.9789702517299923,0.9789702517299923
q,Halton,10,0.8497835561804934,0.8497835561804934,0.8497835561804934
q,Halton,15,0.8098796706041158,0.8098796706041158,0.8098796706041158
q,Halton,20,0.8031321933238791,0.8031321933238791,0.8031321933238791
q,Halton,25,0.7979387378657768,0.7979387378657768,0.7979387378657768
q,Halton,30,0.7935444054548154,0.7935444054548154,0.7935444054548154
q,Halton,35,0.8053559832065423,0.8053559832065423,0.8053559832065423
q,Halton,40,0.7877164483503454,0.7877164483503454,0.7877164483503454
q,Halton,45,0.7195543273613225,0.7195543273613225,0.7195543273613225
q,Halton,50,0.6974022930367962,0.6974022930367962,0.6974022930367962
q,Halton,55,0.7029590448556546,0.7029590448556546,0.7029590448556546
q,Halton,60,0.6949960484297609,0.6949960484297609,0.6949960484297609
q,Halton,65,0.6944524822616325,0.6944524822616325,0.6944524822616325
q,Halton,70,0.6997591408301377,0.6997591408301377,0.6997591408301377
q,Halton,75,0.6989586269470524,0.6989586269470524,0.6989586269470524
q,Halton,80,0.7094691229763274,0.7094691229763274,0.7094691229763274
q,Halton,85,0.709964879118679,0.709964879118679,0.709964879118679
q,Halton,90,0.7113240561663022,0.7113240561663022,0.7113240561663022
q,Halton,95,0.7141034119142374,0.7141034119142374,0.7141034119142374
q,Halton,100,0.707011767438291,0.707011767438291,0.707011767438291
q,Halton,105,0.7149265194026512,0.7149265194026512,0.7149265194026512
q,Halton,110,0.7148983675575961,0.7148983675575961,0.7148983675575961
