kind,sampler,seed,n,value
nrmse,β=0,0,10,0.11064963595158503
nrmse,β=0,0,20,0.09409227140147482
nrmse,β=0,0,30,0.08704582208346119
nrmse,β=0,0,40,0.08532555593458997
nrmse,β=0,1,10,0.12766556647979102
nrmse,β=0,1,20,0.09161144950690958
nrmse,β=0,1,30,0.08982262716208678
nrmse,β=0,1,40,0.0931059243147245
nrmse,β=0,2,10,0.10996720104389388
nrmse,β=0,2,20,0.09706416620071093
nrmse,β=0,2,30,0.0886733456131313
nrmse,β=0,2,40,0.08490106470513135
nrmse,β=0.25,0,10,0.11173780652982329
nrmse,β=0.25,0,20,0.10978083022975411
nrmse,β=0.25,0,30,0.08887083110812626
nrmse,β=0.25,0,40,0.09335492799596606
nrmse,β=0.25,1,10,0.12332005023750292
nrmse,β=0.25,1,20,0.10787110345816378
nrmse,β=0.25,1,30,0.08949991661635236
nrmse,β=0.25,1,40,0.08600769247539262
nrmse,β=0.25,2,10,0.11315368075807064
nrmse,β=0.25,2,20,0.11003143316062107
nrmse,β=0.25,2,30,0.08727359741672137
nrmse,β=0.25,2,40,0.09139924887612756
nrmse,β=0.5,0,10,0.1631927973970213
nrmse,β=0.5,0,20,0.09940809259229895
nrmse,β=0.5,0,30,0.09433277621912782
nrmse,β=0.5,0,40,0.09531363063434643
nrmse,β=0.5,1,10,0.123033599962506
nrmse,β=0.5,1,20,0.10463023239866914
nrmse,β=0.5,1,30,0.09761013489020452
nrmse,β=0.5,1,40,0.08915210703082743
nrmse,β=0.5,2,10,0.11315368075809817
nrmse,β=0.5,2,20,0.11681999385403248
nrmse,β=0.5,2,30,0.09890831624427368
nrmse,β=0.5,2,40,0.09276028774926215
nrmse,β=0.75,0,10,0.14533147995055043
nrmse,β=0.75,0,20,0.13557476311358171
nrmse,β=0.75,0,30,0.09714721189745248
nrmse,β=0.75,0,40,0.09571565516693227
nrmse,β=0.75,1,10,0.13417150781704135
nrmse,β=0.75,1,20,0.10587201468196455
nrmse,β=0.75,1,30,0.10247749317177114
nrmse,β=0.75,1,40,0.09319521818697986
nrmse,β=0.75,2,10,0.1305433908558603
nrmse,β=0.75,2,20,0.1109785241386204
nrmse,β=0.75,2,30,0.14142524257298253
nrmse,β=0.75,2,40,0.10365462313358481
nrmse,β=1,0,10,0.2325030812834984
nrmse,β=1,0,20,0.15183461024537256
nrmse,β=1,0,30,0.14174071376887487
nrmse,β=1,0,40,0.14923683281806235
nrmse,β=1,1,10,0.706533647633619
nrmse,β=1,1,20,0.17848129104886148
nrmse,β=1,1,30,0.2411191297854796
nrmse,β=1,1,40,0.12583122133095997
nrmse,β=1,2,10,0.6776767370393538
nrmse,β=1,2,20,0.2279189733176774
nrmse,β=1,2,30,0.16588288135847729
nrmse,β=1,2,40,0.15440894274580083
nrmse,P-greedy,0,10,0.11064963595158503
nrmse,P-greedy,0,20,0.09409227140147482
nrmse,P-greedy,0,30,0.08704582208346119
nrmse,P-greedy,0,40,0.08532555593458997
nrmse,P-greedy,1,10,0.12766556647979102
nrmse,P-greedy,1,20,0.09161144950690958
nrmse,P-greedy,1,30,0.08982262716208678
nrmse,P-greedy,1,40,0.0931059243147245
nrmse,P-greedy,2,10,0.10996720104389388
nrmse,P-greedy,2,20,0.09706416620071093
nrmse,P-greedy,2,30,0.0886733456131313
nrmse,P-greedy,2,40,0.08490106470513135
nrmse,f-greedy,0,10,0.2325030812834984
nrmse,f-greedy,0,20,0.15183461024537256
nrmse,f-greedy,0,30,0.14174071376887487
nrmse,f-greedy,0,40,0.14923683281806235
nrmse,f-greedy,1,10,0.706533647633619
nrmse,f-greedy,1,20,0.17848129104886148
nrmse,f-greedy,1,30,0.2411191297854796
nrmse,f-greedy,1,40,0.12583122133095997
nrmse,f-greedy,2,10,0.6776767370393538
nrmse,f-greedy,2,20,0.2279189733176774
nrmse,f-greedy,2,30,0.16588288135847729
nrmse,f-greedy,2,40,0.15440894274580083
