qoi,sampler,n,median,q25,q75
f,EIGF,5,1.0331907992372427,1.0331907992372427,1.0331907992372427
f,EIGF,10,0.3751558621506338,0.3751558621506338,0.3751558621506338
f,EIGF,15,0.16126340692395255,0.16126340692395255,0.16126340692395255
f,EIGF,20,0.14747205643368816,0.14747205643368816,0.14747205643368816
f,EIGF,25,0.14007326622476013,0.14007326622476013,0.14007326622476013
f,EIGF,30,0.13286351014328843,0.13286351014328843,0.13286351014328843
f,EIGF,35,0.1321205177499689,0.1321205177499689,0.1321205177499689
f,EIGF,40,0.10175682938202103,0.10175682938202103,0.10175682938202103
f,EIGF,45,0.10298483859145967,0.10298483859145967,0.10298483859145967
f,EIGF,50,0.10307114465507523,0.10307114465507523,0.10307114465507523
f,EIGF,55,0.10309901081437019,0.10309901081437019,0.10309901081437019
f,EIGF,60,0.10416378002128215,0.10416378002128215,0.10416378002128215
f,Halton,5,1.2445300568694793,1.2445300568694793,1.2445300568694793
f,Halton,10,0.30973704422040366,0.30973704422040366,0.30973704422040366
f,Halton,15,0.22786990184724323,0.22786990184724323,0.22786990184724323
f,Halton,20,0.19718387148670485,0.19718387148670485,0.19718387148670485
f,Halton,25,0.20170312705944973,0.20170312705944973,0.20170312705944973
f,Halton,30,0.1602864470559198,0.1602864470559198,0.1602864470559198
f,Halton,35,0.22890268974793843,0.22890268974793843,0.22890268974793843
f,Halton,40,0.14437157533885225,0.14437157533885225,0.14437157533885225
f,Halton,45,0.07114974596343344,0.07114974596343344,0.07114974596343344
f,Halton,50,0.04384494507569159,0.04384494507569159,0.04384494507569159
f,Halton,55,0.04111777953604611,0.04111777953604611,0.04111777953604611
f,Halton,60,0.023252745522982572,0.023252745522982572,0.023252745522982572
f,LHS,5,1.029589050809148,1.029589050809148,1.029589050809148
f,LHS,10,0.4946438212197416,0.4946438212197416,0.4946438212197416
f,LHS,15,0.3446385801533223,0.3446385801533223,0.3446385801533223
f,LHS,20,0.1814842785905665,0.1814842785905665,0.1814842785905665
f,LHS,25,0.1702852167346891,0.1702852167346891,0.1702852167346891
f,LHS,30,0.17583964516032993,0.17583964516032993,0.17583964516032993
f,LHS,35,0.16012985472178493,0.16012985472178493,0.16012985472178493
f,LHS,40,0.20607986151002233,0.20607986151002233,0.20607986151002233
f,LHS,45,0.05378617763865056,0.05378617763865056,0.05378617763865056
f,LHS,50,0.06376525835745948,0.06376525835745948,0.06376525835745948
f,LHS,55,0.07782593317447624,0.07782593317447624,0.07782593317447624
f,LHS,60,0.03285100221065799,0.03285100221065799,0.03285100221065799
f,MEPE,5,1.0331907992372427,1.0331907992372427,1.0331907992372427
f,MEPE,10,0.5561013256873589,0.5561013256873589,0.5561013256873589
f,MEPE,15,0.14550761439230858,0.14550761439230858,0.14550761439230858
f,MEPE,20,0.14530181816801443,0.14530181816801443,0.14530181816801443
f,MEPE,25,0.12682128826130692,0.12682128826130692,0.12682128826130692
f,MEPE,30,0.1406115395948465,0.1406115395948465,0.1406115395948465
f,MEPE,35,0.11285791361177162,0.11285791361177162,0.11285791361177162
f,MEPE,40,0.08700757825309001,0.08700757825309001,0.08700757825309001
f,MEPE,45,0.028013824123984274,0.028013824123984274,0.028013824123984274
f,MEPE,50,0.021929037811956854,0.021929037811956854,0.021929037811956854
f,MEPE,55,0.01855568864290463,0.01855568864290463,0.01855568864290463
f,MEPE,60,0.012614573578939942,0.012614573578939942,0.012614573578939942
f,P-greedy,5,1.0331907992372427,1.0331907992372427,1.0331907992372427
f,P-greedy,10,0.44617289144274397,0.44617289144274397,0.44617289144274397
f,P-greedy,15,0.13589074493346162,0.13589074493346162,0.13589074493346162
f,P-greedy,20,0.1352819814031963,0.1352819814031963,0.1352819814031963
f,P-greedy,25,0.10748961808162676,0.10748961808162676,0.10748961808162676
f,P-greedy,30,0.11081971585420343,0.11081971585420343,0.11081971585420343
f,P-greedy,35,0.09794985147917622,0.09794985147917622,0.09794985147917622
f,P-greedy,40,0.09686182440378892,0.09686182440378892,0.09686182440378892
f,P-greedy,45,0.029076227407665266,0.029076227407665266,0.029076227407665266
f,P-greedy,50,0.019670450368543188,0.019670450368543188,0.019670450368543188
f,P-greedy,55,0.009417889688022704,0.009417889688022704,0.009417889688022704
f,P-greedy,60,0.007446481165154459,0.007446481165154459,0.007446481165154459
f,Random,5,1.021782146954952,1.021782146954952,1.021782146954952
f,Random,10,0.5690494492741967,0.5690494492741967,0.5690494492741967
f,Random,15,0.26214142575324395,0.26214142575324395,0.26214142575324395
f,Random,20,0.5265372699629854,0.5265372699629854,0.5265372699629854
f,Random,25,0.527728096121028,0.527728096121028,0.527728096121028
f,Random,30,0.1874116663047607,0.1874116663047607,0.1874116663047607
f,Random,35,0.18283206283296724,0.18283206283296724,0.18283206283296724
f,Random,40,0.18383268852599471,0.18383268852599471,0.18383268852599471
f,Random,45,0.1301221399836525,0.1301221399836525,0.1301221399836525
f,Random,50,0.06437212141549963,0.06437212141549963,0.06437212141549963
f,Random,55,0.15571625013322396,0.15571625013322396,0.15571625013322396
f,Random,60,0.09833272601976262,0.09833272601976262,0.09833272601976262
f,f-greedy,5,1.0331907992372427,1.0331907992372427,1.0331907992372427
f,f-greedy,10,0.9372617742541723,0.9372617742541723,0.9372617742541723
f,f-greedy,15,0.19158311076562076,0.19158311076562076,0.19158311076562076
f,f-greedy,20,0.6512862035703066,0.6512862035703066,0.6512862035703066
f,f-greedy,25,0.18573096146530768,0.18573096146530768,0.18573096146530768
f,f-greedy,30,0.18473834153492327,0.18473834153492327,0.18473834153492327
f,f-greedy,35,0.12596584129343572,0.12596584129343572,0.12596584129343572
f,f-greedy,40,0.11845428291605149,0.11845428291605149,0.11845428291605149
f,f-greedy,45,0.10319055423384925,0.10319055423384925,0.10319055423384925
f,f-greedy,50,0.06406124030772543,0.06406124030772543,0.06406124030772543
f,f-greedy,55,0.05879302585219877,0.05879302585219877,0.05879302585219877
f,f-greedy,60,0.06332840985576092,0.06332840985576092,0.06332840985576092
f,β-greedy(β=0.5),5,1.0331907992372427,1.0331907992372427,1.0331907992372427
f,β-greedy(β=0.5),10,0.26852420723103215,0.26852420723103215,0.26852420723103215
f,β-greedy(β=0.5),15,0.1456200056412451,0.1456200056412451,0.1456200056412451
f,β-greedy(β=0.5),20,0.1441063313965094,0.1441063313965094,0.1441063313965094
f,β-greedy(β=0.5),25,0.10654361558977492,0.10654361558977492,0.10654361558977492
f,β-greedy(β=0.5),30,0.10003580290569195,0.10003580290569195,0.10003580290569195
f,β-greedy(β=0.5),35,0.1054671454651936,0.1054671454651936,0.1054671454651936
f,β-greedy(β=0.5),40,0.07142679783802018,0.07142679783802018,0.07142679783802018
f,β-greedy(β=0.5),45,0.023432328245575763,0.023432328245575763,0.023432328245575763
f,β-greedy(β=0.5),50,0.008331197921701531,0.008331197921701531,0.008331197921701531
