qoi,sampler,n,median,q25,q75
q,EIGF,5,0.7039921224846493,0.6188164666578868,0.7313897290420937
q,EIGF,10,0.6886231548476001,0.5528064248131637,0.8482362775700228
q,EIGF,15,0.3657877579480761,0.3220162529405787,0.43789098296609963
q,EIGF,20,0.3470202931721858,0.3085447898740219,0.3995550473279172
q,EIGF,30,0.2655866099204427,0.22629572897719366,0.2887618393980878
q,EIGF,40,0.2024551717029977,0.1848113606484232,0.21967673347513525
q,EIGF,60,0.16413031264761596,0.16220016952311073,0.17015830409810692
q,EIGF,80,0.13415188798904149,0.127644608127682,0.14524015905854082
q,EIGF,100,0.1279141018060455,0.12001396059355915,0.12982366663853728
q,EIGF,120,0.12066804274871033,0.11755104366491176,0.1255386362263305
q,Halton,5,0.7622713800528677,0.6684395003394978,0.847236034962377
q,Halton,10,0.5192949606892239,0.45772168204597297,0.5872111852353807
q,Halton,15,0.4388004853570874,0.39202462029081964,0.46716041726670543
q,Halton,20,0.42702833881832414,0.38064924299497943,0.44553865776933166
q,Halton,30,0.3475230744676685,0.32424846873517804,0.38214700990567446
q,Halton,40,0.3245371539538935,0.28805136292374545,0.37142716168333845
q,Halton,60,0.27275001016916334,0.2514367235994774,0.29353957752064114
q,Halton,80,0.23176564991468868,0.20771614520930148,0.2439327711141233
q,Halton,100,0.18081652831464806,0.1553165102796673,0.18370023164946292
q,Halton,120,0.1773780884570338,0.16433558046959384,0.191542434870998
q,LHS,5,0.7020327033600932,0.6189312204053625,0.7332877581900487
q,LHS,10,0.5379437473792372,0.5049963410577197,0.6373560147241548
q,LHS,15,0.47497384341420773,0.4368222444858067,0.5387193094514191
q,LHS,20,0.3926097551452407,0.3573116648944649,0.4069459176129797
q,LHS,30,0.33474979460942467,0.3026586496411628,0.3654298484391489
q,LHS,40,0.2930685590183042,0.2803838761593236,0.3231716044369167
q,LHS,60,0.23750904905572706,0.20510895366380105,0.25625744016828356
q,LHS,80,0.22207900682332157,0.2161573723822069,0.23996346748874872
q,LHS,100,0.1779624290804898,0.16793658755586022,0.18673847562651388
q,LHS,120,0.1699194910317755,0.1495177300226966,0.2037452432093822
q,MEPE,5,0.7039921224846493,0.6188164666578868,0.7313897290420937
q,MEPE,10,0.6548269622627338,0.5985871325898248,0.7361908037566754
q,MEPE,15,0.4928516088538383,0.4673355237515645,0.5351287183217498
q,MEPE,20,0.38932052122195515,0.3765226506319691,0.44571779930275557
q,MEPE,30,0.2894139922370381,0.2635171462813148,0.2951507142941759
q,MEPE,40,0.1855685445758097,0.17430667377847156,0.22026438129225354
q,MEPE,60,0.14538225749771783,0.134341598240896,0.15327864048553586
q,MEPE,80,0.10714348429984635,0.10327180875808406,0.10797566730231606
q,MEPE,100,0.09333466770260243,0.08938926382979563,0.10260336255262725
q,MEPE,120,0.08506383039525547,0.08159600197865727,0.09360251131795193
q,P-greedy,5,0.7039921224846493,0.6188164666578868,0.7313897290420937
q,P-greedy,10,0.8308642213302007,0.759783752547346,1.0005992260251855
q,P-greedy,15,0.5540967369754288,0.5339379696650404,0.5645239601621742
q,P-greedy,20,0.4128755183859957,0.3817794555426701,0.5159265396599464
q,P-greedy,30,0.32813541668618945,0.3110391334579091,0.3527189516733818
q,P-greedy,40,0.24004764215533536,0.23038595740124085,0.2657564655546924
q,P-greedy,60,0.1498119132338596,0.14763557380780473,0.17113693614318853
q,P-greedy,80,0.12843329852162644,0.12425102725989877,0.13493892271461158
q,P-greedy,100,0.11242052212944399,0.1099325923599059,0.11477710028536016
q,P-greedy,120,0.09318231471224603,0.08706662120357253,0.09527829604194843
q,Random,5,0.6808797303219424,0.5970724437814547,0.8136302722552473
q,Random,10,0.5878644400904435,0.5623943821000543,0.7996165688225464
q,Random,15,0.5875323359983742,0.5327882695950568,0.693274424905501
q,Random,20,0.4708428560645412,0.4593192438764215,0.5329813188371506
q,Random,30,0.4816426263942665,0.3972996087176914,0.5821760687190574
q,Random,40,0.39779949212253474,0.3005007540514305,0.5816510460093426
q,Random,60,0.3087013708646029,0.25852651378160774,0.6162131163246434
q,Random,80,0.3308228165743424,0.19863811636942752,0.42934770549932505
q,Random,100,0.22102517437001584,0.18455540706212875,0.4368952193799347
q,Random,120,0.24027238210093046,0.1742357690765018,0.5318439258065679
q,f-greedy,5,0.7039921224846493,0.6188164666578868,0.7313897290420937
q,f-greedy,10,0.4431732777794568,0.4149724357099852,0.5852134410502062
q,f-greedy,15,0.41288430730728654,0.3895307189140037,0.4248989005878469
q,f-greedy,20,0.3742666151055606,0.3527213008049701,0.3857334534792601
q,f-greedy,30,0.3261814334014221,0.2897087809280445,0.34728899281169523
q,f-greedy,40,0.25712173228863205,0.24504204980418293,0.28733732754607555
q,f-greedy,60,0.24665973301924876,0.20217552111787374,0.2726970816728631
q,f-greedy,80,0.21945933707587761,0.19968469909680356,0.2391178745325957
q,f-greedy,100,0.19696796311086157,0.18500366876433677,0.2100878329486942
q,f-greedy,120,0.22010145158506828,0.19298765500029055,0.261228539345841
q,β-greedy(β=0.5),5,0.7039921224846493,0.6188164666578868,0.7313897290420937
q,β-greedy(β=0.5),10,0.7841956410306788,0.6982332116305492,1.0376426668677625
q,β-greedy(β=0.5),15,0.5437526670485653,0.49125484676625447,0.636557519558038
q,β-greedy(β=0.5),20,0.414173163429613,0.4038635788563084,0.4952863814083168
q,β-greedy(β=0.5),30,0.2989990806853732,0.29074538690277296,0.32006588314800716
q,β-greedy(β=0.5),40,0.21780162799797514,0.20775270740131688,0.23029676146809216
q,β-greedy(β=0.5),60,0.14263178026648,0.134870647645671,0.15649670613702377
q,β-greedy(β=0.5),80,0.1050099904841075,0.10089380073789816,0.10771905261226093
q,β-greedy(β=0.5),100,0.09466123074857807,0.08991045560159,0.09535010563895537
q,β-greedy(β=0.5),120,0.07602832344309284,0.07518000890449274,0.08771100398882894
