problem,qoi,sampler,seed,n,n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed
Heat-AMICon,q,Random,0,5,81,0.5558174421328526,0,0.5558174421328526,0,0.02576018992024608,0.02576018992024608,0.005108489128195609,0.07147369535847163,0.6702565620173265,0.7117002511279292,0.1,4398880.386207236,False
Heat-AMICon,q,Random,0,10,81,0.6188380554410688,0,0.6188380554410688,0,0.03281217283270127,0.03281217283270127,0.007020373933467214,0.08378767172721303,0.3177273681459176,0.8343168309768104,2.8063908011496896,172.43004551773987,False
Heat-AMICon,q,Random,0,15,81,0.5917378198910083,0,0.5917378198910083,0,0.030851509427657006,0.030851509427657006,0.00645330035987474,0.08033243653640004,0.37577284072951334,0.7999112816250629,2.3065504755640527,208250.4540439754,False
Heat-AMICon,q,Random,0,20,81,0.542530933065293,0,0.542530933065293,0,0.022017545663751636,0.022017545663751636,0.004730265226777908,0.06877692365014525,0.6677964751988242,0.6848471117677144,0.1,4.774197497423198e+17,False
Heat-AMICon,q,Random,0,25,81,0.5721693031423147,0,0.5721693031423147,0,0.037948991842053914,0.037948991842053914,0.010703727471439278,0.10345882017227569,0.2511669247990028,1.0301925474639737,0.5843414133735175,695968902526745.0,False
Heat-AMICon,q,Random,0,30,81,0.40218987516119625,0,0.40218987516119625,0,0.01865964022773488,0.01865964022773488,0.0028482085637787967,0.053368610285249106,0.8357909871263136,0.5314186310342829,0.324422607917163,1.331571493430404e+19,False
Heat-AMICon,q,Random,0,35,81,0.42168417545070697,0,0.42168417545070697,0,0.01774276558561518,0.01774276558561518,0.002963627292402593,0.054439207308727346,0.8793294816487887,0.5420791148198881,0.324422607917163,2.4325493189291387e+18,False
Heat-AMICon,q,Random,0,40,81,0.4143300172022319,0,0.4143300172022319,0,0.018201318901365438,0.018201318901365438,0.003021255100916907,0.05496594491971285,0.8907007345143727,0.5473241114320925,0.48026560105467186,2.0804960599895846e+18,False
Heat-AMICon,q,Random,0,45,81,0.4171838302120206,0,0.4171838302120206,0,0.01811231817662328,0.01811231817662328,0.0030403135985072748,0.05513903878838726,0.8885466476455328,0.5490476958806988,0.48026560105467186,3.4810123227949645e+18,False
Heat-AMICon,q,Random,0,50,81,0.4149563497826805,0,0.4149563497826805,0,0.0157893537340903,0.0157893537340903,0.0027623593109395218,0.05255815170779431,0.91122807303875,0.5233484792083497,0.7109709432312434,1.379975604766684e+19,False
Heat-AMICon,q,Random,0,55,81,0.43129853970081355,0,0.43129853970081355,0,0.016470348094822552,0.016470348094822552,0.003001210465812538,0.05478330462661538,0.8841734574420956,0.5455054683381316,0.7109709432312434,4.2631877313965245e+18,False
Heat-AMICon,q,Random,0,60,81,0.37155732233187616,0,0.37155732233187616,0,0.01528501090577741,0.01528501090577741,0.002282303963984236,0.047773465061519624,0.9586658931680334,0.4757048996978281,0.7109709432312434,3.473151090071036e+19,False
Heat-AMICon,q,Random,0,65,81,0.4685751626791173,0,0.4685751626791173,0,0.018539816285058762,0.018539816285058762,0.0034918976510558606,0.05909228080769823,0.9516833955159413,0.5884121547043549,0.324422607917163,1.0522594463443407e+19,False
Heat-AMICon,q,Random,0,70,81,0.2904992866203473,0,0.2904992866203473,0,0.012616046829443464,0.012616046829443464,0.0015222069104620884,0.03901547014277911,0.9650130473990701,0.3884970513868766,1.0525002852777328,4.759981883600351e+17,False
