qoi,sampler,n,median,q25,q75
q,EIGF,5,0.9700643777406455,0.9700643777406455,0.9700643777406455
q,EIGF,10,0.9968852530844671,0.9968852530844671,0.9968852530844671
q,EIGF,15,0.9744209578828299,0.9744209578828299,0.9744209578828299
q,EIGF,20,0.43449027406725055,0.43449027406725055,0.43449027406725055
q,EIGF,25,0.45543572311393277,0.45543572311393277,0.45543572311393277
q,EIGF,30,0.40117400777212553,0.40117400777212553,0.40117400777212553
q,EIGF,35,0.4306988186111648,0.4306988186111648,0.4306988186111648
q,EIGF,40,0.3323047987444398,0.3323047987444398,0.3323047987444398
q,EIGF,45,0.31930445937875696,0.31930445937875696,0.31930445937875696
q,EIGF,50,0.319564721090465,0.319564721090465,0.319564721090465
q,EIGF,55,0.3123125616302688,0.3123125616302688,0.3123125616302688
q,EIGF,60,0.3223630473521564,0.3223630473521564,0.3223630473521564
q,EIGF,65,0.32540099756603164,0.32540099756603164,0.32540099756603164
q,EIGF,70,0.31525969033959955,0.31525969033959955,0.31525969033959955
q,EIGF,75,0.3075599009416457,0.3075599009416457,0.3075599009416457
q,EIGF,80,0.3058935042928442,0.3058935042928442,0.3058935042928442
q,EIGF,85,0.2976838220156655,0.2976838220156655,0.2976838220156655
q,EIGF,90,0.31591123880338,0.31591123880338,0.31591123880338
q,EIGF,95,0.3134729426760389,0.3134729426760389,0.3134729426760389
q,EIGF,100,0.31541073804980396,0.31541073804980396,0.31541073804980396
q,EIGF,105,0.319951579949359,0.319951579949359,0.319951579949359
q,EIGF,110,0.3230228262869993,0.3230228262869993,0.3230228262869993
q,EIGF,115,0.3165006709453156,0.3165006709453156,0.3165006709453156
q,EIGF,120,0.3157679648816361,0.3157679648816361,0.3157679648816361
q,Halton,5,1.0056228937264111,1.0056228937264111,1.0056228937264111
q,Halton,10,0.7657656311075057,0.7657656311075057,0.7657656311075057
q,Halton,15,0.6935294399033078,0.6935294399033078,0.6935294399033078
q,Halton,20,0.7435401406987212,0.7435401406987212,0.7435401406987212
q,Halton,25,0.7007229692198819,0.7007229692198819,0.7007229692198819
q,Halton,30,0.7143486318495793,0.7143486318495793,0.7143486318495793
q,Halton,35,0.7364401060134076,0.7364401060134076,0.7364401060134076
q,Halton,40,0.6764063738579477,0.6764063738579477,0.6764063738579477
q,Halton,45,0.604003306474442,0.604003306474442,0.604003306474442
q,Halton,50,0.6153614582585104,0.6153614582585104,0.6153614582585104
q,Halton,55,0.6553902879176352,0.6553902879176352,0.6553902879176352
q,Halton,60,0.5436801299362045,0.5436801299362045,0.5436801299362045
q,Halton,65,0.5381759739135796,0.5381759739135796,0.5381759739135796
q,Halton,70,0.4658220999879511,0.4658220999879511,0.4658220999879511
q,Halton,75,0.464155791024241,0.464155791024241,0.464155791024241
q,Halton,80,0.495113016428093,0.495113016428093,0.495113016428093
q,Halton,85,0.5062849461704613,0.5062849461704613,0.5062849461704613
q,Halton,90,0.5064923768254911,0.5064923768254911,0.5064923768254911
q,Halton,95,0.49505116551537737,0.49505116551537737,0.49505116551537737
q,Halton,100,0.4936511094376968,0.4936511094376968,0.4936511094376968
q,Halton,105,0.5273016878029112,0.5273016878029112,0.5273016878029112
q,Halton,110,0.5407452752646769,0.5407452752646769,0.5407452752646769
q,Halton,115,0.5649939137823697,0.5649939137823697,0.5649939137823697
q,Halton,120,0.5629124645542178,0.5629124645542178,0.5629124645542178
q,LHS,5,0.9705342393429247,0.9705342393429247,0.9705342393429247
q,LHS,10,0.8808800970812212,0.8808800970812212,0.8808800970812212
q,LHS,15,0.802717340210685,0.802717340210685,0.802717340210685
q,LHS,20,0.765438406676461,0.765438406676461,0.765438406676461
