problem,qoi,sampler,seed,n,n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed
RD-2D,J,Random,0,5,81,0.1255923948868592,4,481.1522743080782,3,121.89954394244788,0.0396853684539382,27479.34220247926,165.76894221318798,0.9748173715328587,0.1844308072866454,0.1,4398880.386207236,False
RD-2D,J,Random,0,10,81,0.253213502610654,8,713.4894396921854,8,151.36605275181688,0.0518194052168536,44384.98524603975,210.67744360998816,0.9564221648390782,0.2343949987453417,0.1,444133812615.56586,False
RD-2D,J,Random,0,15,81,0.1316372427112253,4,489.8220657240904,4,131.80107584530987,0.0396693502109668,34464.89951160296,185.64724482631829,0.9617314210142712,0.2065469609489698,2.3065504755640527,208250.4540439754,False
RD-2D,J,Random,0,20,81,0.0915129661526807,8,257.859609664034,8,60.09407893585733,0.0209553482611415,6617.403609163405,81.34742533825766,0.9920916494444224,0.0905053209939068,0.1,4.774197497423198e+17,False
RD-2D,J,Random,0,25,81,0.0736208989654069,8,359.7985522139152,18,62.338081355011305,0.0206820995795814,7874.0195833193875,88.7356725523585,0.9915272109049804,0.098725319142761,0.1216704698588225,1.196222943817212e+18,False
RD-2D,J,Random,0,30,81,0.0663962505529447,53,174.75249699557207,8,55.149545584449,0.0195152248631972,4972.430055648463,70.51545969252744,0.9940594941251044,0.0784539189527813,0.1,2.386694391209596e+19,False
RD-2D,J,Random,0,35,81,0.0641935037445388,53,164.00356535676792,45,50.82423188459896,0.0179532443517663,3990.093757371024,63.167188930417225,0.9952247221997672,0.0702783977078311,0.1,2.0038730186273296e+19,False
RD-2D,J,Random,0,40,81,0.0486866955899996,72,174.4788173174761,45,42.678411045239045,0.0148577171469796,3095.856696690839,55.64042322530301,0.9962831270338792,0.0619042869925296,0.1,1.3780246941064847e+19,False
RD-2D,J,Random,0,45,81,0.049968634795304,72,177.9076081856865,45,42.90531040144495,0.0148565627607618,3018.38768554138,54.93985516491084,0.9963744713703516,0.0611248506806829,0.1,2.318216833025342e+19,False
RD-2D,J,Random,0,50,81,0.0515730454272117,72,175.91912188987635,45,43.11555142975106,0.0150296433228472,2979.2270171810355,54.58229582182336,0.9963919627800536,0.0607270381748053,0.1,1.4039588878100378e+19,False
