qoi,sampler,n,median,q25,q75
J,EIGF,5,0.1382738467707156,0.1382738467707156,0.1382738467707156
J,EIGF,10,0.3630040585593461,0.3630040585593461,0.3630040585593461
J,EIGF,15,0.0723342927759593,0.0723342927759593,0.0723342927759593
J,EIGF,20,0.0652786501838478,0.0652786501838478,0.0652786501838478
J,EIGF,25,0.0634313447377946,0.0634313447377946,0.0634313447377946
J,EIGF,30,0.0559349635692883,0.0559349635692883,0.0559349635692883
J,EIGF,35,0.0556570041399787,0.0556570041399787,0.0556570041399787
J,EIGF,40,0.0579425080002412,0.0579425080002412,0.0579425080002412
J,EIGF,45,0.0579549958253585,0.0579549958253585,0.0579549958253585
J,EIGF,50,0.0576090036838363,0.0576090036838363,0.0576090036838363
J,EIGF,55,0.0556734635066835,0.0556734635066835,0.0556734635066835
J,EIGF,60,0.0549189220789341,0.0549189220789341,0.0549189220789341
J,Halton,5,0.600789837158398,0.600789837158398,0.600789837158398
J,Halton,10,0.3546864236164284,0.3546864236164284,0.3546864236164284
J,Halton,15,0.1689240602247917,0.1689240602247917,0.1689240602247917
J,Halton,20,0.1146472538811082,0.1146472538811082,0.1146472538811082
J,Halton,25,0.0764646223291949,0.0764646223291949,0.0764646223291949
J,Halton,30,0.0647657171769683,0.0647657171769683,0.0647657171769683
J,Halton,35,0.0597532614846209,0.0597532614846209,0.0597532614846209
J,Halton,40,0.0620179396267991,0.0620179396267991,0.0620179396267991
J,Halton,45,0.0636377750818427,0.0636377750818427,0.0636377750818427
J,Halton,50,0.0593991787169285,0.0593991787169285,0.0593991787169285
J,Halton,55,0.0588988838083855,0.0588988838083855,0.0588988838083855
J,Halton,60,0.06000761298994,0.06000761298994,0.06000761298994
J,LHS,5,0.136845081391458,0.136845081391458,0.136845081391458
J,LHS,10,0.3770038675161911,0.3770038675161911,0.3770038675161911
J,LHS,15,0.1100122651980987,0.1100122651980987,0.1100122651980987
J,LHS,20,0.0844296996834559,0.0844296996834559,0.0844296996834559
J,LHS,25,0.0759651201055379,0.0759651201055379,0.0759651201055379
J,LHS,30,0.0722560416768192,0.0722560416768192,0.0722560416768192
J,LHS,35,0.059347241501853,0.059347241501853,0.059347241501853
J,LHS,40,0.0586156155883733,0.0586156155883733,0.0586156155883733
J,LHS,45,0.0564249330361149,0.0564249330361149,0.0564249330361149
J,LHS,50,0.1634555780133502,0.1634555780133502,0.1634555780133502
J,LHS,55,0.056202951400656,0.056202951400656,0.056202951400656
J,LHS,60,0.0553439479162814,0.0553439479162814,0.0553439479162814
J,MEPE,5,0.1382738467707156,0.1382738467707156,0.1382738467707156
J,MEPE,10,0.120685131157976,0.120685131157976,0.120685131157976
J,MEPE,15,0.0926518709995991,0.0926518709995991,0.0926518709995991
J,MEPE,20,0.0700773828703595,0.0700773828703595,0.0700773828703595
J,MEPE,25,0.0659821039541938,0.0659821039541938,0.0659821039541938
J,MEPE,30,0.0601616444127474,0.0601616444127474,0.0601616444127474
J,MEPE,35,0.0555143570956535,0.0555143570956535,0.0555143570956535
J,MEPE,40,0.0548645444288164,0.0548645444288164,0.0548645444288164
J,MEPE,45,0.0551015529362299,0.0551015529362299,0.0551015529362299
J,MEPE,50,0.0552974409323633,0.0552974409323633,0.0552974409323633
J,MEPE,55,0.0540986152090844,0.0540986152090844,0.0540986152090844
J,MEPE,60,0.0542060455724532,0.0542060455724532,0.0542060455724532
J,P-greedy,5,0.1382738467707156,0.1382738467707156,0.1382738467707156
J,P-greedy,10,0.0831100490421057,0.0831100490421057,0.0831100490421057
J,P-greedy,15,0.0765014243349945,0.0765014243349945,0.0765014243349945
J,P-greedy,20,0.0708639555952486,0.0708639555952486,0.0708639555952486
J,P-greedy,25,0.0595005935435749,0.0595005935435749,0.0595005935435749
J,P-greedy,30,0.0576595210664611,0.0576595210664611,0.0576595210664611
J,P-greedy,35,0.0557808148626253,0.0557808148626253,0.0557808148626253
J,P-greedy,40,0.0543959496417481,0.0543959496417481,0.0543959496417481
J,P-greedy,45,0.0541178285762522,0.0541178285762522,0.0541178285762522
J,P-greedy,50,0.0543703373467255,0.0543703373467255,0.0543703373467255
J,P-greedy,55,0.053278863205242,0.053278863205242,0.053278863205242
J,P-greedy,60,0.0531483548350301,0.0531483548350301,0.0531483548350301
J,Random,5,0.1844308072866454,0.1844308072866454,0.1844308072866454
J,Random,10,0.2343949987453417,0.2343949987453417,0.2343949987453417
J,Random,15,0.2065469609489698,0.2065469609489698,0.2065469609489698
