problem,qoi,sampler,n_to_tol,lhs_n_to_tol,speedup
Branin,f,Halton,50.0,60.0,1.2
Branin,f,P-greedy,45.0,60.0,1.33
Branin,f,β-greedy(β=0.5),45.0,60.0,1.33
Branin,f,MEPE,45.0,60.0,1.33
RD-2D,J,Random,5.0,5.0,1.0
RD-2D,J,Halton,15.0,5.0,0.33
RD-2D,J,P-greedy,5.0,5.0,1.0
RD-2D,J,f-greedy,5.0,5.0,1.0
RD-2D,J,β-greedy(β=0.5),5.0,5.0,1.0
RD-2D,J,MEPE,5.0,5.0,1.0
RD-2D,J,EIGF,5.0,5.0,1.0
RD-2D,J2,Random,20.0,5.0,0.25
RD-2D,J2,Halton,20.0,5.0,0.25
RD-2D,J2,P-greedy,5.0,5.0,1.0
RD-2D,J2,f-greedy,5.0,5.0,1.0
RD-2D,J2,β-greedy(β=0.5),5.0,5.0,1.0
RD-2D,J2,MEPE,5.0,5.0,1.0
RD-2D,J2,EIGF,5.0,5.0,1.0
RD-4D,J,Random,50.0,20.0,0.4
RD-4D,J,Halton,60.0,20.0,0.33
RD-4D,J,P-greedy,10.0,20.0,2.0
RD-4D,J,f-greedy,20.0,20.0,1.0
RD-4D,J,β-greedy(β=0.5),20.0,20.0,1.0
RD-4D,J,MEPE,20.0,20.0,1.0
RD-4D,J,EIGF,50.0,20.0,0.4
RD-4D,J2,Random,30.0,20.0,0.67
RD-4D,J2,Halton,20.0,20.0,1.0
RD-4D,J2,P-greedy,20.0,20.0,1.0
RD-4D,J2,f-greedy,80.0,20.0,0.25
RD-4D,J2,β-greedy(β=0.5),20.0,20.0,1.0
RD-4D,J2,MEPE,20.0,20.0,1.0
RD-4D,J2,EIGF,30.0,20.0,0.67
