sample_index,beta,gamma,max_prey
1,0.1165029728837161,0.2060327432720355,59.111899334591875
2,0.030721770986906,0.2397463238105567,182.14524496074833
3,0.1715110813612818,0.3272382521911445,79.43260561249643
4,0.2340908476420515,0.2908533926383472,66.29203410692203
5,0.0860892487193852,0.1718906344993697,71.1486571077847
6,0.0653879476413532,0.1251711141384388,80.70775623786156
7,0.1916597251762371,0.1135745892389462,13.465581103777975
8,0.0952051861547966,0.1991594329856603,70.88878157608903
9,0.1558958901212906,0.2693745214437903,61.888785706232994
10,0.2147084088854649,0.3208501632052166,74.69283214473465
