sample_index,beta,gamma
1,0.15866651160055695,0.33339045275217544
2,0.21950070079431705,0.17899021138124105
3,0.24977605311432993,0.2568254119399044
4,0.18402693870839187,0.12869304963172734
5,0.130869541544359,0.34704219038881223
6,0.03260131164155801,0.3011179677646747
7,0.17899640895074564,0.29215143468067767
8,0.08034721568717307,0.2644872108386379
9,0.09586220611377597,0.11354840518313984
10,0.06884630150906487,0.10367397037708523
11,0.21541853371814434,0.2440480783044276
12,0.04913346738409047,0.22258112765652882
13,0.109734712490657,0.19119161893351583
14,0.03798979496164674,0.31872986770313394
15,0.23013290902733036,0.1486128111156505
16,0.12478529993958634,0.20293392991296844
17,0.2000111008914983,0.15926566713621626
18,0.1704194244187016,0.23443982125579763
19,0.13782090889015464,0.27589156186863956
20,0.08137868798555767,0.17361798857902555
